wage,educ,fatheduc,motheduc,inlf,hours,kidslt6,kidsge6,age,huswage,mtr,unem,city,exper
1.8519,12,7,7,1,1080,1,2,31,7.1627,0.7215,7.5,0,0
5.2,12,7,7,1,NA,0,0,55,4.7364,0.6915,7.5,0,0
3.2986,12,16,12,1,288,0,2,34,8.781,0.6915,11,1,NA
8.5333,13,12,10,1,1875,0,1,38,9.8315,0.58,7.5,1,8
2.0635,11,7,7,1,630,0,1,45,6.6496,0.7215,7.5,1,2
2.5641,12,NA,12,1,234,0,1,47,9.8485,0.6615,7.5,1,4
2.1875,12,7,7,1,1600,0,2,39,NA,0.6215,5,1,6
6.25,14,7,7,1,960,1,0,NA,8.2604,0.6615,11,1,18
3.3333,12,7,7,1,NA,1,2,33,9.0676,0.6915,9,1,3
4.4444,12,12,7,1,2025,0,0,50,8.5082,0.6215,5,1,22
6.6335,12,7,3,1,1809,NA,0,58,7.1565,0.6215,7.5,1,33
8.4224,17,12,12,1,3087,0,0,49,7.0423,0.52,11,1,28
4.3956,14,12,16,1,910,NA,2,41,6.5934,0.7215,14,1,23
2.4457,12,14,7,1,1840,0,1,51,4.3457,0.6915,NA,0,27
1.2245,9,7,3,1,784,0,0,53,7.2362,0.7215,14,1,11
1.625,12,7,12,1,400,1,2,36,1.74,0.8015,11,1,6
3,12,7,7,1,1e3,0,2,NA,6.8966,0.7215,9.5,1,11
4.7269,12,12,12,1,1904,0,2,36,5.0455,0.5515,11,1,14
1.1293,14,NA,12,1,1771,0,1,53,17.25,0.4915,14,1,17
7.4024,16,14,16,NA,1486,0,3,40,8.3333,0.6215,11,1,17
4.4595,17,10,12,1,740,0,2,42,9.375,0.5815,9,0,14
2.4725,15,12,12,1,1820,1,1,33,8.279,0.6915,11,1,11
1.8824,12,7,7,NA,1275,0,3,43,4.5,0.6915,7.5,1,7
NA,16,16,14,1,450,1,0,31,4.1995,0.7215,14,1,8
8.19,17,7,7,1,1221,0,0,47,16.064,0.4915,7.5,NA,6
7.0968,17,17,10,1,NA,0,0,54,11.277,0.5215,11,1,8
1.6667,12,3,NA,1,180,1,3,33,0.5494,0.9415,3,0,4
3.445,16,10,14,1,NA,0,0,43,9.548,0.6215,11,1,25
4.2347,13,9,7,1,1960,0,1,46,5.3333,0.6915,3,0,24
2.7778,12,7,7,1,NA,0,3,35,5.4545,0.7215,14,1,11
1.8892,11,3,12,1,794,0,3,37,5.9026,0.7515,9.5,1,19
5.0352,16,16,12,NA,993,0,2,37,9.8576,0.5815,14,1,9
1.25,14,12,17,1,160,0,3,34,11.685,0.7215,7.5,1,NA
2.8571,16,7,7,1,NA,1,0,43,6.2278,0.7215,9.5,0,14
4.1167,12,7,7,1,1200,NA,0,46,9.1748,0.6215,9.5,1,22
1.7778,9,7,3,1,450,0,3,35,6.2972,0.7515,5,NA,6
13.554,17,12,12,1,996,0,0,46,10.471,0.5815,9.5,1,23
4.5627,14,3,7,1,1052,0,0,46,14.583,0.4915,NA,1,15
2.1277,12,NA,7,1,1128,0,2,43,6.2143,0.7215,14,1,6
2.9891,12,7,7,1,1840,0,0,30,6.6288,0.6915,7.5,0,11
2.5654,11,7,3,1,1910,0,2,41,3.8246000000000002,0.7215,5,0,2
5.6122,12,7,7,1,980,0,1,54,7.8125,0.6915,14,1,22
2.8054,12,10,10,1,2317,0,1,31,3.4806,0.7215,7.5,1,10
1.607,10,10,10,1,1089,0,0,44,5.55,0.7515,9.5,1,14
2.25,12,7,12,1,800,0,1,32,11.594,0.6215,11,1,12
2.0325,5,12,7,1,1230,0,0,47,9.5238,0.7215,14,1,9
5.532,17,17,14,1,1158,0,1,46,7.2805,0.6215,7.5,0,13
1.5845,11,10,10,1,2272,0,0,37,3,0.7215,7.5,0,18
3.7879,12,7,7,1,528,0,2,51,10.4,NA,7.5,0,8
3,12,7,7,1,1e3,NA,1,49,10.05,0.6615,14,1,11
8.6538,14,12,10,1,520,0,4,36,8.7866,0.6615,9.5,1,9
4.2105,NA,7,12,1,760,0,1,39,10.14,0.6915,9.5,1,9
4.6875,NA,12,12,1,1920,0,2,48,5,0.6915,9.5,1,14
NA,14,7,7,1,1220,0,2,38,11.888,0.5815,5,1,9
25,12,NA,7,1,200,0,2,40,13.333,0.6615,7.5,1,2
2.6331,10,7,7,1,2480,1,5,39,8.6806,0.5815,3,0,12
6,16,7,12,1,2750,0,0,NA,7.2917,0.61,7.5,1,15
5.4126,13,14,7,1,2014,0,1,49,3.5242,0.7215,14,1,11
0.6642,12,NA,12,1,1355,0,3,33,6.1818,0.7215,9.5,0,7
1.25,12,12,12,1,80,0,NA,30,2.9755,0.7515,11,1,9
2.2754,12,7,12,1,1670,0,0,54,4.5769,0.7215,9.5,0,19
3.4615,11,7,10,1,520,0,4,39,3.1056,NA,11,0,11
4.1667,12,12,12,1,288,0,3,43,5.8228,0.7515,NA,1,8
4.4687,9,3,10,1,2014,0,3,31,7.5,0.6215,9.5,1,13
1.75,13,7,12,1,800,0,3,33,8.3333,0.6215,7.5,1,4
3.6694,12,12,12,NA,1984,0,3,40,9.2347,0.6615,14,1,7
6.5826,12,12,12,1,1823,0,1,36,5.5,0.6615,3,0,NA
2.6,12,7,7,1,1500,0,0,51,6,0.6615,9.5,1,14
4.8651,13,7,12,1,2261,0,1,44,6.6667,0.6215,NA,1,14
5.787,16,14,12,1,1728,0,3,42,13.061,0.5215,9.5,1,3
4.5408,12,12,NA,1,1960,0,1,40,12.794,0.5215,7.5,1,9
9.5057,16,17,12,1,1578,1,1,34,12,0.58,9.5,1,7
10.638,17,17,16,1,1316,0,0,30,6.73,0.5815,11,1,7
1.1111,12,7,7,1,1530,0,0,54,6.679,0.6915,14,0,14
4.0541,12,7,16,1,2220,0,0,51,4.3945,0.6915,3,0,29
2.6871,9,10,7,1,1336,0,2,44,4.6875,0.7515,NA,0,19
2.9762,12,7,7,1,1008,0,1,43,7.6989,0.6615,11,1,14
3.1728,12,7,10,1,1944,0,1,34,4.3287,0.6915,7.5,0,16
3.55,13,7,12,1,2e3,0,0,NA,6.7416,0.6615,11,1,10
17.907,NA,3,10,1,258,0,0,39,9.3525,0.6215,11,0,12
NA,12,0,0,1,1785,0,0,50,9.1429,0.7515,14,1,24
3.3333,12,7,7,1,480,0,0,52,2.6418,0.7515,14,0,NA
NA,12,12,12,1,772,0,2,41,7.365,0.7215,7.5,1,9
2.3111,10,7,12,1,900,0,0,59,1.4066,0.7715,5,0,14
1.7108,12,NA,10,1,1428,0,0,52,1.5192,0.7715,14,0,26
2.1143,NA,12,12,1,210,0,0,46,3.3439,0.7515,14,0,7
9.9331,12,7,3,1,239,1,5,41,2.9106,0.7215,11,1,4
3.0277,11,NA,7,1,1878,0,2,33,4.3834,0.7215,9.5,0,15
1.8605,12,12,12,1,NA,0,0,45,4.2098,0.7215,5,1,23
0.1282,10,NA,10,1,2340,1,2,36,3.7129,0.7815,7.5,0,1
6.6327,12,7,7,1,1960,0,1,48,NA,0.5515,14,1,29
5.6391,12,3,7,1,532,0,1,47,8.6382,0.6615,11,1,9
1.599,12,7,7,1,394,0,0,45,3.8367,0.7515,7.5,0,6
2.6667,12,7,7,1,675,0,2,37,7.1671,0.6915,7.5,0,11
7.9208,16,10,12,1,1515,0,4,46,8.8634,0.6215,14,1,NA
5.3398,17,12,12,1,NA,0,3,43,7.7369,0.6615,5,1,6
4,12,NA,7,1,1250,0,2,42,9.1702,0.6215,7.5,1,7
6.0449,17,NA,12,1,1158,1,2,34,11.29,0.5515,7.5,1,2
6.25,12,7,7,1,112,NA,0,52,6.3269,0.5815,7.5,1,24
2.9762,12,7,10,1,336,0,3,37,4.7468,0.7515,7.5,0,4
4.2339,12,NA,10,1,1984,0,1,37,4.8885,0.6915,5,0,11
3.4916,8,7,7,1,716,0,0,52,2.4842,0.7215,5,0,25
4.9645,12,12,12,1,1410,1,0,30,8.547,NA,7.5,0,11
2.7692,13,7,17,1,1300,0,1,NA,6.6379,0.7515,11,1,2
3.6585,12,7,7,1,1640,0,1,38,3.1863,0.7215,7.5,0,19
NA,12,7,7,1,1202,0,3,43,4.5466,0.5815,9,1,7
0.6564,8,7,7,1,489,NA,1,49,12.789,0.7515,5,1,2
4.7688,12,NA,7,1,2076,0,0,55,6.528,0.6615,5,1,20
8.5551,17,14,12,1,526,0,NA,38,16.403,0.5515,9.5,1,10
10.459,17,17,14,1,1721,0,0,52,NA,0.61,14,1,19
NA,12,7,7,1,1327,0,0,48,13.542,0.7515,11,1,17
6.8493,13,10,12,1,584,0,2,32,6.713,0.6915,NA,1,12
5.0872,12,7,7,1,1376,0,1,32,5.4487,0.6615,5,NA,11
0.9615,12,7,7,1,1040,NA,2,38,6.6872,0.7215,7.5,1,6
4.3066,12,12,16,1,548,0,3,46,9.0943,0.6915,14,1,NA
NA,12,7,7,1,15,0,3,40,6.5337,0.7515,7.5,0,4
2.5253,9,7,10,1,1980,0,4,31,4.686,0.7515,5,1,2
7.8947,10,9,12,1,1520,NA,1,43,8,0.5215,9.5,1,13
4.1489,12,7,7,1,1880,0,0,51,4.053,0.6915,7.5,0,21
8.1746,16,NA,16,1,1260,1,0,30,8.1633,0.5515,5,1,9
9.5971,13,NA,10,1,1092,0,0,52,16.5,0.4615,11,1,4
2.0164,8,3,3,1,1587,1,5,30,3.4615,0.7815,7.5,0,2
7.6218,16,NA,16,1,156,0,0,51,11.361,0.5515,11,1,19
3.1975,13,3,7,1,1939,0,2,31,3.8911,0.7215,7.5,1,4
1.6,12,16,12,1,1250,0,4,34,9.6059,0.6915,7.5,1,9
4.0984,11,7,7,1,610,0,0,49,2.6687,0.7215,7.5,1,14
1.4815,13,16,7,1,270,1,3,35,8.8865,0.6615,9.5,1,NA
3.6364,NA,12,7,1,660,1,0,53,6.3636,0.7215,7.5,1,24
1,12,7,12,1,1e3,0,3,32,17.728,0.5515,11,0,1
2.6042,10,7,12,1,1920,0,3,38,5.2923,0.7215,7.5,1,13
1.75,12,12,7,1,200,0,0,54,15.686,0.5815,9.5,1,3
4.8,17,12,10,1,NA,0,1,47,5.2423,0.5515,11,1,10
5.53,15,12,14,1,868,0,1,45,3.0395,0.7215,NA,1,16
4.0984,16,16,16,1,2318,0,NA,47,16.745,0.4915,5,1,9
1.25,10,7,7,1,2e3,0,0,59,3.75,0.6915,5,0,19
1.6667,11,9,10,1,60,0,1,32,5.814,0.7215,5,1,4
3.7901,12,7,7,1,1715,0,NA,45,10.833,0.5815,7.5,1,10
2.3636,12,12,14,1,550,0,4,40,9.0029,0.7215,5,1,5
10.204,14,12,14,1,1960,0,2,47,6.54,0.61,3,1,NA
6.8182,16,10,12,1,44,NA,2,36,5.9783,0.7515,5,0,3
7.2146,14,7,7,1,1920,0,0,56,8.6248,0.5815,7.5,NA,38
2.4484,8,12,NA,1,2540,0,1,41,4.8329,0.6215,9.5,0,16
1.1987,7,7,3,1,156,0,3,48,10.909,0.7515,11,0,NA
1.641,12,7,7,1,780,1,2,36,3.8864,0.7515,11,0,1
1.7821,12,3,7,1,3120,0,0,41,8.4574,0.5515,5,0,7
2.9412,14,10,7,1,2040,0,0,NA,5,0.6915,11,1,15
4.9689,12,17,12,1,1610,0,3,36,NA,0.6615,9.5,1,10
1.8605,12,7,10,1,215,0,3,37,4.4938,0.6915,3,0,2
8.0357,12,3,7,1,1120,0,0,38,NA,0.6215,9.5,1,19
3.9716,14,3,3,1,846,0,2,43,3.2788,0.7515,7.5,1,25
3.0416,16,12,12,1,3225,0,0,54,1.2861,NA,9.5,1,25
2.907,12,7,7,1,1376,NA,1,38,5.5556,0.7215,5,1,7
3.0612,12,7,12,1,980,1,NA,30,7.4951,0.5815,11,1,15
4.8966,12,7,7,1,1838,0,0,49,22.109,0.4415,9.5,NA,11
NA,13,10,10,1,1494,0,1,45,9.058,0.4415,9.5,1,25
5.5556,13,7,7,1,NA,0,0,51,11.538,0.5215,9.5,1,19
1.2227,10,10,0,1,NA,0,0,34,6.0468,0.6915,7.5,1,4
2.6839,12,7,7,1,2012,0,2,34,1.3653,0.7515,7.5,1,14
2.6738,12,9,10,1,561,0,1,41,16.55,0.5515,7.5,1,19
9.3294,12,9,9,1,1715,0,1,NA,8.7719,0.64,11,1,18
3.1381,12,12,12,NA,1912,0,0,32,9.6354,0.6615,5,1,14
0.5426,14,12,12,1,3686,0,0,32,6.6788,0.7215,7.5,1,11
8.6111,17,12,12,1,1080,0,2,32,7.5727,0.4415,5,0,4
3.6687,10,7,3,1,1799,0,0,47,7.8125,0.6615,7.5,1,29
2.3185,9,9,9,1,1984,0,1,39,1.9835,0.7515,7.5,0,21
2.882,12,12,12,1,1839,0,0,49,9.5238,0.6215,11,1,24
NA,12,7,12,1,1579,0,3,37,6.425,0.6615,7.5,1,19
NA,16,12,14,1,96,0,0,59,10.984,0.6215,7.5,1,31
6.25,12,7,7,1,1920,NA,0,50,12.766,0.5215,14,1,28
10.249,17,12,12,1,1688,0,NA,32,9.5545,0.61,9.5,1,15
3.2096,12,12,12,1,1589,0,0,46,5.4967,0.6615,NA,0,27
7.6522,17,14,12,1,345,0,NA,43,9.7618,0.6915,14,0,13
1.9724,11,7,7,1,1521,0,3,37,5,0.7515,7.5,0,4
4.698,16,14,12,1,1490,0,2,32,5.9995,0.7215,NA,1,10
2.1234,11,10,10,1,989,0,1,39,6.9149,NA,9,1,8
2.3333,13,12,12,1,600,0,2,34,4.9669,0.7215,7.5,0,4
2.3896,11,7,7,NA,2646,0,1,39,2.3896,0.6915,5,1,18
1.2564,8,7,7,1,2149,NA,3,45,4.5122,0.7515,5,1,3
1.0938,NA,12,3,1,320,0,0,50,9.2308,0.6615,7.5,1,11
3.75,12,7,12,1,1600,0,1,40,11.458,0.5815,7.5,1,8
3.3072,10,7,7,1,2419,0,1,30,7.6993,0.6615,11,1,10
5.1352,17,12,16,1,2005,NA,0,57,4.183,0.6615,11,1,33
6.6327,12,12,NA,1,1960,0,1,39,8.3333,0.6215,9,1,19
4.5645,12,12,12,1,2147,0,0,53,5.1042,0.6915,7.5,NA,35
11.848,17,12,7,1,1207,0,1,48,NA,0.64,5,1,21
3.75,14,14,14,1,2e3,0,1,46,5.6634,0.6615,7.5,0,7
4.3651,12,10,7,1,1260,0,0,NA,5.222,0.7215,7.5,0,18
3.9333,12,7,7,1,90,0,1,43,7.19,0.7515,7.5,0,4
3.3333,12,7,NA,1,1800,0,0,47,13.907,0.4915,7.5,1,12
3.3159,12,7,10,1,573,0,1,47,6.0163,0.7215,14,0,16
3.5616,12,7,7,1,1825,0,NA,47,7.6782,0.6215,7.5,1,14
1.6,12,7,3,1,75,0,0,46,5.3112,0.7515,7.5,1,3
2.2255,9,7,7,1,1348,0,4,34,4.1228,0.7515,11,NA,1
4.7872,10,7,7,1,1880,0,0,48,7.8125,0.6215,11,0,27
5.8065,12,NA,10,1,1240,0,1,30,4.6053,0.7215,7.5,1,12
2.3585,12,7,7,1,848,0,1,51,3.9746,0.6615,3,0,6
2,12,12,7,1,150,0,5,52,15.063,0.5215,14,1,9
1.9,12,12,12,1,2e3,0,2,37,4.5064,0.6215,5,0,2
5.123,12,7,12,1,1952,0,2,32,5.8824,0.6615,5,0,6
5.4945,17,NA,12,1,1456,0,2,36,10.228,0.5815,5,1,9
6.3218,12,10,10,1,1740,0,2,35,6.5789,0.6615,7.5,1,16
7.1429,17,12,14,1,1400,0,0,45,8.8145,0.5815,5,NA,22
2.375,12,7,7,1,2e3,0,0,56,2.9528,0.7515,14,NA,26
2.5429,10,7,7,1,1750,0,2,40,4.5173,0.7515,14,0,11
2.1798,12,12,14,1,1101,NA,2,45,5.1282,0.7515,7.5,1,11
2.6,12,7,10,1,2e3,0,2,32,4.1451,NA,7.5,0,15
3.7294,12,10,10,1,1877,0,0,45,8.7912,0.6615,7.5,0,13
4.375,12,12,7,1,160,0,2,40,7.3061,0.6915,NA,1,6
4.4433,12,10,7,NA,1886,0,1,38,6.0069,0.6915,9.5,1,20
4.2877,12,7,7,1,1446,0,4,49,8.3333,0.7515,14,1,17
1.6667,16,14,14,1,1500,0,1,47,11.529,0.5815,NA,1,8
3.2558,13,NA,7,1,860,0,0,52,6.6667,0.6615,11,1,13
5.4113,13,12,12,1,1848,0,1,34,8.6806,NA,7.5,1,15
2.205,12,12,14,1,1678,0,2,44,3.468,0.7215,3,0,14
NA,16,7,14,1,160,0,3,36,3.0321,0.7215,3,0,14
0.6482,17,16,14,1,NA,0,0,50,13.807,0.5815,9.5,1,6
5.3826,12,NA,0,1,1738,0,0,45,6.2174,0.6615,7.5,1,24
0.1709,14,12,16,1,1170,0,2,44,4.2308,0.7515,9.5,1,10
23.467,12,7,7,1,15,0,2,57,11.47,0.6615,NA,1,2
9.5785,17,17,NA,1,2088,0,0,35,12.245,0.5,9.5,1,9
3.6948,12,7,7,1,2490,0,NA,46,9.2105,0.5815,7.5,1,23
2.2222,14,12,10,1,135,2,1,30,6.3309,0.7215,14,1,12
1.749,12,3,7,NA,1944,0,3,42,7.8039,0.6915,14,0,8
1.1594,12,7,10,NA,690,0,1,34,7.6754,0.7215,7.5,1,16
6.9901,17,14,10,1,NA,0,2,45,15.582,0.5515,14,1,10
3.9683,16,7,14,1,63,NA,2,35,9.6436,0.6615,14,1,7
21.429,16,12,7,NA,154,0,0,40,12.886,0.5515,14,1,19
0.4762,12,12,12,1,420,0,1,32,6.5511,0.6915,7.5,1,2
2.1505,9,7,7,1,651,0,0,54,8.25,0.6615,7.5,1,9
1.8578,12,7,7,1,675,0,3,38,1.3792,0.7915,14,0,14
4.3295,12,14,12,1,1663,0,3,43,5.2632,NA,5,1,9
8.9286,16,7,NA,1,1680,0,0,54,10.526,0.72,9.5,1,16
2.7778,14,12,12,1,180,0,3,39,10,0.6215,7.5,1,7
2.6565,12,12,7,1,1581,0,1,37,12.548,0.5215,5,1,6
2.5,12,7,7,1,1200,0,2,46,4.6207,0.7215,NA,1,22
