day,population,activities,time,time_in_minutes
Year 2014_Monday til Friday,All,Travel,01:39,99
Year 2014_Monday til Friday,All, Travel related to eating,00:31,31
Year 2014_Monday til Friday,All, Travel to/from work,01:06,66
Year 2014_Monday til Friday,All, Travel related to study,01:16,76
Year 2014_Monday til Friday,All, Travel related to household care,00:56,56
Year 2014_Monday til Friday,All, Travel related to voluntary work and meetings ,00:49,49
Year 2014_Monday til Friday,All, Travel related to social life,00:57,57
Year 2014_Monday til Friday,All, Travel related to sports,00:35,35
Year 2014_Monday til Friday,All, Travel related to changing locality,01:02,62
Year 2014_Monday til Friday,Male,Personal care,11:00,660
Year 2014_Monday til Friday,Male,Sleep,08:24,504
Year 2014_Monday til Friday,Male,Eating,01:46,106
Year 2014_Monday til Friday,Male,Other personal care,00:52,52
Year 2014_Monday til Friday,Male,Employment,08:11,491
Year 2014_Monday til Friday,Male, Main job,08:20,500
Year 2014_Monday til Friday,Male, Job seeking,03:10,190
Year 2014_Monday til Friday,Male, Second job,04:17,257
Year 2014_Monday til Friday,Male,Study,06:39,399
Year 2014_Monday til Friday,Male, School or university,05:53,353
Year 2014_Monday til Friday,Male, Homework,02:12,132
Year 2014_Monday til Friday,Male, Free time study,01:25,85
Year 2014_Monday til Friday,Male,Household and family care,01:59,119
Year 2014_Monday til Friday,Male, Food management,00:43,43
Year 2014_Monday til Friday,Male, Household upkeep,00:55,55
Year 2014_Monday til Friday,Male, Making and care for textiles,00:27,27
Year 2014_Monday til Friday,Male, Gardening and pet care,01:13,73
Year 2014_Monday til Friday,Male, Construction and repairs,01:58,118
Year 2014_Monday til Friday,Male, Shopping and services (excluding online services),01:00,60
Year 2014_Monday til Friday,Male, Household management (excluding online services),00:40,40
Year 2014_Monday til Friday,Male, Childcare (less than 17 years) ,01:17,77
Year 2014_Monday til Friday,Male, Help to an adult household member ,01:58,118
Year 2014_Monday til Friday,Male,Voluntary work and meetings,02:19,139
Year 2014_Monday til Friday,Male, Organisational work ,02:10,130
Year 2014_Monday til Friday,Male, Informal help to other households,02:15,135
Year 2014_Monday til Friday,Male,Participatory activities,02:06,126
Year 2014_Monday til Friday,Male,Social life and entertainment  ,01:08,68
Year 2014_Monday til Friday,Male, Sociability,00:35,35
Year 2014_Monday til Friday,Male, Visiting and receiving visitors,01:21,81
Year 2014_Monday til Friday,Male, Culture,02:09,129
Year 2014_Monday til Friday,Male, Entertainment ,01:49,109
Year 2014_Monday til Friday,Male, Resting — Time out,00:31,31
Year 2014_Monday til Friday,Male,Sports and outdoor activities ,01:53,113
Year 2014_Monday til Friday,Male, Sports,01:49,109
Year 2014_Monday til Friday,Male,Outdoor activities ,04:40,280
Year 2014_Monday til Friday,Male,Hobbies and games,01:42,102
Year 2014_Monday til Friday,Male, Arts,01:35,95
Year 2014_Monday til Friday,Male, Collecting,00:50,50
Year 2014_Monday til Friday,Male, Computing,01:28,88
Year 2014_Monday til Friday,Male, Games,01:39,99
Year 2014_Monday til Friday,Male,Media,02:37,157
Year 2014_Monday til Friday,Male, Reading,00:58,58
Year 2014_Monday til Friday,Male," TV, video and dvd",02:26,146
Year 2014_Monday til Friday,Male," Listening to radio, music",00:39,39
Year 2014_Monday til Friday,Male,Travel,01:36,96
Year 2014_Monday til Friday,Male, Travel related to eating,00:30,30
Year 2014_Monday til Friday,Male, Travel to/from work,01:07,67
Year 2014_Monday til Friday,Male, Travel related to study,01:09,69
Year 2014_Monday til Friday,Male, Travel related to household care,00:50,50
Year 2014_Monday til Friday,Male, Travel related to voluntary work and meetings ,00:45,45
Year 2014_Monday til Friday,Male, Travel related to social life,00:58,58
Year 2014_Monday til Friday,Male, Travel related to sports,00:38,38
Year 2014_Monday til Friday,Male, Travel related to changing locality,00:13,13
Year 2014_Monday til Friday,Female,Personal care,11:15,675
Year 2014_Monday til Friday,Female,Sleep,08:27,507
Year 2014_Monday til Friday,Female,Eating,01:48,108
Year 2014_Monday til Friday,Female,Other personal care,01:01,61
Year 2014_Monday til Friday,Female,Employment,06:54,414
Year 2014_Monday til Friday,Female, Main job,07:03,423
Year 2014_Monday til Friday,Female, Job seeking,01:43,103
Year 2014_Monday til Friday,Female, Second job,04:10,250
Year 2014_Monday til Friday,Female,Study,06:13,373
Year 2014_Monday til Friday,Female, School or university,05:33,333
Year 2014_Monday til Friday,Female, Homework,01:58,118
Year 2014_Monday til Friday,Female, Free time study,01:36,96
Year 2014_Monday til Friday,Female,Household and family care,03:49,229
Year 2014_Monday til Friday,Female, Food management,01:18,78
Year 2014_Monday til Friday,Female, Household upkeep,01:10,70
Year 2014_Monday til Friday,Female, Making and care for textiles,01:02,62
Year 2014_Monday til Friday,Female, Gardening and pet care,01:13,73
Year 2014_Monday til Friday,Female, Construction and repairs,01:23,83
Year 2014_Monday til Friday,Female, Shopping and services (excluding online services),01:12,72
Year 2014_Monday til Friday,Female, Household management (excluding online services),00:44,44
Year 2014_Monday til Friday,Female, Childcare (less than 17 years) ,02:00,120
Year 2014_Monday til Friday,Female, Help to an adult household member ,01:20,80
Year 2014_Monday til Friday,Female,Voluntary work and meetings,02:15,135
Year 2014_Monday til Friday,Female, Organisational work ,02:50,170
Year 2014_Monday til Friday,Female, Informal help to other households,01:49,109
Year 2014_Monday til Friday,Female,Participatory activities,01:55,115
Year 2014_Monday til Friday,Female,Social life and entertainment  ,01:09,69
Year 2014_Monday til Friday,Female, Sociability,00:40,40
Year 2014_Monday til Friday,Female, Visiting and receiving visitors,01:19,79
Year 2014_Monday til Friday,Female, Culture,02:10,130
Year 2014_Monday til Friday,Female, Entertainment ,01:52,112
Year 2014_Monday til Friday,Female, Resting — Time out,00:25,25
Year 2014_Monday til Friday,Female,Sports and outdoor activities ,01:29,89
Year 2014_Monday til Friday,Female, Sports,01:28,88
Year 2014_Monday til Friday,Female,Outdoor activities ,02:09,129
Year 2014_Monday til Friday,Female,Hobbies and games,01:12,72
Year 2014_Monday til Friday,Female, Arts,01:12,72
Year 2014_Monday til Friday,Female, Collecting,,
Year 2014_Monday til Friday,Female, Computing,01:02,62
Year 2014_Monday til Friday,Female, Games,01:06,66
Year 2014_Monday til Friday,Female,Media,02:22,142
Year 2014_Monday til Friday,Female, Reading,00:54,54
Year 2014_Monday til Friday,Female," TV, video and dvd",02:10,130
Year 2014_Monday til Friday,Female," Listening to radio, music",00:36,36
Year 2014_Monday til Friday,Female,Travel,01:42,102
Year 2014_Monday til Friday,Female, Travel related to eating,00:32,32
Year 2014_Monday til Friday,Female, Travel to/from work,01:03,63
Year 2014_Monday til Friday,Female, Travel related to study,01:25,85
Year 2014_Monday til Friday,Female, Travel related to household care,01:00,60
Year 2014_Monday til Friday,Female, Travel related to voluntary work and meetings ,00:52,52
Year 2014_Monday til Friday,Female, Travel related to social life,00:55,55
Year 2014_Monday til Friday,Female, Travel related to sports,00:32,32
Year 2014_Monday til Friday,Female, Travel related to changing locality,01:26,86
Year 2014_Monday til Friday,10 - 19 years,Personal care,11:54,714
Year 2014_Monday til Friday,10 - 19 years,Sleep,09:17,557
Year 2014_Monday til Friday,10 - 19 years,Eating,01:45,105
Year 2014_Monday til Friday,10 - 19 years,Other personal care,00:55,55
Year 2014_Monday til Friday,10 - 19 years,Employment,05:18,318
Year 2014_Monday til Friday,10 - 19 years, Main job,07:27,447
Year 2014_Monday til Friday,10 - 19 years, Job seeking,01:45,105
Year 2014_Monday til Friday,10 - 19 years, Second job,04:57,297
Year 2014_Monday til Friday,10 - 19 years,Study,07:06,426
Year 2014_Monday til Friday,10 - 19 years, School or university,05:44,344
Year 2014_Monday til Friday,10 - 19 years, Homework,01:49,109
Year 2014_Monday til Friday,10 - 19 years, Free time study,01:15,75
Year 2014_Monday til Friday,10 - 19 years,Household and family care,01:01,61
Year 2014_Monday til Friday,10 - 19 years, Food management,00:28,28
Year 2014_Monday til Friday,10 - 19 years, Household upkeep,00:34,34
Year 2014_Monday til Friday,10 - 19 years, Making and care for textiles,00:21,21
Year 2014_Monday til Friday,10 - 19 years, Gardening and pet care,00:37,37
Year 2014_Monday til Friday,10 - 19 years, Construction and repairs,01:55,115
Year 2014_Monday til Friday,10 - 19 years, Shopping and services (excluding online services),01:11,71
Year 2014_Monday til Friday,10 - 19 years, Household management (excluding online services),00:29,29
Year 2014_Monday til Friday,10 - 19 years, Childcare (less than 17 years) ,01:20,80
Year 2014_Monday til Friday,10 - 19 years, Help to an adult household member ,02:00,120
Year 2014_Monday til Friday,10 - 19 years,Voluntary work and meetings,01:45,105
Year 2014_Monday til Friday,10 - 19 years, Organisational work ,02:10,130
Year 2014_Monday til Friday,10 - 19 years, Informal help to other households,00:40,40
Year 2014_Monday til Friday,10 - 19 years,Participatory activities,01:40,100
Year 2014_Monday til Friday,10 - 19 years,Social life and entertainment  ,01:09,69
Year 2014_Monday til Friday,10 - 19 years, Sociability,00:34,34
Year 2014_Monday til Friday,10 - 19 years, Visiting and receiving visitors,01:58,118
Year 2014_Monday til Friday,10 - 19 years, Culture,02:26,146
Year 2014_Monday til Friday,10 - 19 years, Entertainment ,02:58,178
Year 2014_Monday til Friday,10 - 19 years, Resting — Time out,00:24,24
Year 2014_Monday til Friday,10 - 19 years,Sports and outdoor activities ,02:00,120
Year 2014_Monday til Friday,10 - 19 years, Sports,02:00,120
Year 2014_Monday til Friday,10 - 19 years,Outdoor activities ,02:10,130
Year 2014_Monday til Friday,10 - 19 years,Hobbies and games,01:52,112
Year 2014_Monday til Friday,10 - 19 years, Arts,01:01,61
Year 2014_Monday til Friday,10 - 19 years, Collecting,,
Year 2014_Monday til Friday,10 - 19 years, Computing,01:23,83
Year 2014_Monday til Friday,10 - 19 years, Games,01:53,113
Year 2014_Monday til Friday,10 - 19 years,Media,02:16,136
Year 2014_Monday til Friday,10 - 19 years, Reading,00:47,47
Year 2014_Monday til Friday,10 - 19 years," TV, video and dvd",02:10,130
Year 2014_Monday til Friday,10 - 19 years," Listening to radio, music",01:12,72
Year 2014_Monday til Friday,10 - 19 years,Travel,01:42,102
Year 2014_Monday til Friday,10 - 19 years, Travel related to eating,00:35,35
Year 2014_Monday til Friday,10 - 19 years, Travel to/from work,00:58,58
Year 2014_Monday til Friday,10 - 19 years, Travel related to study,01:19,79
Year 2014_Monday til Friday,10 - 19 years, Travel related to household care,00:58,58
Year 2014_Monday til Friday,10 - 19 years, Travel related to voluntary work and meetings ,00:20,20
Year 2014_Monday til Friday,10 - 19 years, Travel related to social life,00:51,51
Year 2014_Monday til Friday,10 - 19 years, Travel related to sports,00:38,38
Year 2014_Monday til Friday,10 - 19 years, Travel related to changing locality,01:23,83
Year 2014_Monday til Friday,20 - 29 years,Personal care,11:09,669
Year 2014_Monday til Friday,20 - 29 years,Sleep,08:34,514
Year 2014_Monday til Friday,20 - 29 years,Eating,01:36,96
Year 2014_Monday til Friday,20 - 29 years,Other personal care,01:00,60
Year 2014_Monday til Friday,20 - 29 years,Employment,07:50,470
Year 2014_Monday til Friday,20 - 29 years, Main job,08:00,480
Year 2014_Monday til Friday,20 - 29 years, Job seeking,01:38,98
Year 2014_Monday til Friday,20 - 29 years, Second job,04:07,247
Year 2014_Monday til Friday,20 - 29 years,Study,06:07,367
Year 2014_Monday til Friday,20 - 29 years, School or university,05:47,347
Year 2014_Monday til Friday,20 - 29 years, Homework,03:12,192
Year 2014_Monday til Friday,20 - 29 years, Free time study,01:40,100
Year 2014_Monday til Friday,20 - 29 years,Household and family care,02:16,136
Year 2014_Monday til Friday,20 - 29 years, Food management,00:59,59
Year 2014_Monday til Friday,20 - 29 years, Household upkeep,01:02,62
Year 2014_Monday til Friday,20 - 29 years, Making and care for textiles,00:37,37
Year 2014_Monday til Friday,20 - 29 years, Gardening and pet care,00:59,59
Year 2014_Monday til Friday,20 - 29 years, Construction and repairs,04:31,271
Year 2014_Monday til Friday,20 - 29 years, Shopping and services (excluding online services),00:58,58
Year 2014_Monday til Friday,20 - 29 years, Household management (excluding online services),00:25,25
Year 2014_Monday til Friday,20 - 29 years, Childcare (less than 17 years) ,02:15,135
Year 2014_Monday til Friday,20 - 29 years, Help to an adult household member ,01:52,112
Year 2014_Monday til Friday,20 - 29 years,Voluntary work and meetings,02:01,121
Year 2014_Monday til Friday,20 - 29 years, Organisational work ,02:02,122
Year 2014_Monday til Friday,20 - 29 years, Informal help to other households,02:37,157
Year 2014_Monday til Friday,20 - 29 years,Participatory activities,01:02,62
Year 2014_Monday til Friday,20 - 29 years,Social life and entertainment  ,01:26,86
Year 2014_Monday til Friday,20 - 29 years, Sociability,00:34,34
Year 2014_Monday til Friday,20 - 29 years, Visiting and receiving visitors,01:31,91
Year 2014_Monday til Friday,20 - 29 years, Culture,01:43,103
Year 2014_Monday til Friday,20 - 29 years, Entertainment ,02:31,151
Year 2014_Monday til Friday,20 - 29 years, Resting — Time out,00:36,36
Year 2014_Monday til Friday,20 - 29 years,Sports and outdoor activities ,01:36,96
Year 2014_Monday til Friday,20 - 29 years, Sports,01:36,96
Year 2014_Monday til Friday,20 - 29 years,Outdoor activities ,,
Year 2014_Monday til Friday,20 - 29 years,Hobbies and games,01:45,105
Year 2014_Monday til Friday,20 - 29 years, Arts,02:16,136
Year 2014_Monday til Friday,20 - 29 years, Collecting,,
Year 2014_Monday til Friday,20 - 29 years, Computing,01:31,91
Year 2014_Monday til Friday,20 - 29 years, Games,01:22,82
Year 2014_Monday til Friday,20 - 29 years,Media,02:07,127
Year 2014_Monday til Friday,20 - 29 years, Reading,00:47,47
Year 2014_Monday til Friday,20 - 29 years," TV, video and dvd",02:02,122
Year 2014_Monday til Friday,20 - 29 years," Listening to radio, music",00:44,44
Year 2014_Monday til Friday,20 - 29 years,Travel,01:43,103
Year 2014_Monday til Friday,20 - 29 years, Travel related to eating,00:33,33
Year 2014_Monday til Friday,20 - 29 years, Travel to/from work,01:11,71
Year 2014_Monday til Friday,20 - 29 years, Travel related to study,01:16,76
Year 2014_Monday til Friday,20 - 29 years, Travel related to household care,00:49,49
Year 2014_Monday til Friday,20 - 29 years, Travel related to voluntary work and meetings ,00:32,32
Year 2014_Monday til Friday,20 - 29 years, Travel related to social life,01:02,62
Year 2014_Monday til Friday,20 - 29 years, Travel related to sports,00:36,36
Year 2014_Monday til Friday,20 - 29 years, Travel related to changing locality,00:10,10
Year 2014_Monday til Friday,30 - 44 years,Personal care,10:35,635
Year 2014_Monday til Friday,30 - 44 years,Sleep,07:58,478
Year 2014_Monday til Friday,30 - 44 years,Eating,01:46,106
Year 2014_Monday til Friday,30 - 44 years,Other personal care,00:53,53
Year 2014_Monday til Friday,30 - 44 years,Employment,07:50,470
Year 2014_Monday til Friday,30 - 44 years, Main job,07:54,474
Year 2014_Monday til Friday,30 - 44 years, Job seeking,04:35,275
Year 2014_Monday til Friday,30 - 44 years, Second job,04:32,272
Year 2014_Monday til Friday,30 - 44 years,Study,02:17,137
Year 2014_Monday til Friday,30 - 44 years, School or university,04:10,250
Year 2014_Monday til Friday,30 - 44 years, Homework,02:20,140
Year 2014_Monday til Friday,30 - 44 years, Free time study,01:49,109
Year 2014_Monday til Friday,30 - 44 years,Household and family care,02:53,173
Year 2014_Monday til Friday,30 - 44 years, Food management,00:58,58
Year 2014_Monday til Friday,30 - 44 years, Household upkeep,00:54,54
Year 2014_Monday til Friday,30 - 44 years, Making and care for textiles,00:45,45
Year 2014_Monday til Friday,30 - 44 years, Gardening and pet care,00:53,53
Year 2014_Monday til Friday,30 - 44 years, Construction and repairs,01:36,96
Year 2014_Monday til Friday,30 - 44 years, Shopping and services (excluding online services),01:04,64
Year 2014_Monday til Friday,30 - 44 years, Household management (excluding online services),00:34,34
Year 2014_Monday til Friday,30 - 44 years, Childcare (less than 17 years) ,01:45,105
Year 2014_Monday til Friday,30 - 44 years, Help to an adult household member ,00:50,50
Year 2014_Monday til Friday,30 - 44 years,Voluntary work and meetings,01:44,104
Year 2014_Monday til Friday,30 - 44 years, Organisational work ,04:22,262
Year 2014_Monday til Friday,30 - 44 years, Informal help to other households,01:21,81
Year 2014_Monday til Friday,30 - 44 years,Participatory activities,00:55,55
Year 2014_Monday til Friday,30 - 44 years,Social life and entertainment  ,00:52,52
Year 2014_Monday til Friday,30 - 44 years, Sociability,00:31,31
Year 2014_Monday til Friday,30 - 44 years, Visiting and receiving visitors,01:29,89
Year 2014_Monday til Friday,30 - 44 years, Culture,02:29,149
Year 2014_Monday til Friday,30 - 44 years, Entertainment ,01:49,109
Year 2014_Monday til Friday,30 - 44 years, Resting — Time out,00:22,22
Year 2014_Monday til Friday,30 - 44 years,Sports and outdoor activities ,01:31,91
Year 2014_Monday til Friday,30 - 44 years, Sports,01:31,91
Year 2014_Monday til Friday,30 - 44 years,Outdoor activities ,02:10,130
Year 2014_Monday til Friday,30 - 44 years,Hobbies and games,01:10,70
Year 2014_Monday til Friday,30 - 44 years, Arts,00:52,52
Year 2014_Monday til Friday,30 - 44 years, Collecting,,
Year 2014_Monday til Friday,30 - 44 years, Computing,01:02,62
Year 2014_Monday til Friday,30 - 44 years, Games,01:19,79
Year 2014_Monday til Friday,30 - 44 years,Media,02:03,123
Year 2014_Monday til Friday,30 - 44 years, Reading,00:54,54
Year 2014_Monday til Friday,30 - 44 years," TV, video and dvd",01:59,119
Year 2014_Monday til Friday,30 - 44 years," Listening to radio, music",00:28,28
Year 2014_Monday til Friday,30 - 44 years,Travel,01:40,100
Year 2014_Monday til Friday,30 - 44 years, Travel related to eating,00:29,29
Year 2014_Monday til Friday,30 - 44 years, Travel to/from work,01:03,63
Year 2014_Monday til Friday,30 - 44 years, Travel related to study,00:29,29
Year 2014_Monday til Friday,30 - 44 years, Travel related to household care,00:57,57
Year 2014_Monday til Friday,30 - 44 years, Travel related to voluntary work and meetings ,00:46,46
Year 2014_Monday til Friday,30 - 44 years, Travel related to social life,00:58,58
Year 2014_Monday til Friday,30 - 44 years, Travel related to sports,00:33,33
Year 2014_Monday til Friday,30 - 44 years, Travel related to changing locality,,
Year 2014_Monday til Friday,45 - 59 years,Personal care,10:51,651
Year 2014_Monday til Friday,45 - 59 years,Sleep,08:12,492
Year 2014_Monday til Friday,45 - 59 years,Eating,01:47,107
Year 2014_Monday til Friday,45 - 59 years,Other personal care,00:55,55
Year 2014_Monday til Friday,45 - 59 years,Employment,07:31,451
Year 2014_Monday til Friday,45 - 59 years, Main job,07:37,457
Year 2014_Monday til Friday,45 - 59 years, Job seeking,01:12,72
Year 2014_Monday til Friday,45 - 59 years, Second job,04:00,240
Year 2014_Monday til Friday,45 - 59 years,Study,01:37,97
Year 2014_Monday til Friday,45 - 59 years, School or university,,
Year 2014_Monday til Friday,45 - 59 years, Homework,00:10,10
Year 2014_Monday til Friday,45 - 59 years, Free time study,01:44,104
Year 2014_Monday til Friday,45 - 59 years,Household and family care,03:23,203
Year 2014_Monday til Friday,45 - 59 years, Food management,01:12,72
Year 2014_Monday til Friday,45 - 59 years, Household upkeep,01:13,73
Year 2014_Monday til Friday,45 - 59 years, Making and care for textiles,01:09,69
Year 2014_Monday til Friday,45 - 59 years, Gardening and pet care,01:18,78
Year 2014_Monday til Friday,45 - 59 years, Construction and repairs,01:20,80
Year 2014_Monday til Friday,45 - 59 years, Shopping and services (excluding online services),01:09,69
Year 2014_Monday til Friday,45 - 59 years, Household management (excluding online services),00:48,48
Year 2014_Monday til Friday,45 - 59 years, Childcare (less than 17 years) ,01:15,75
Year 2014_Monday til Friday,45 - 59 years, Help to an adult household member ,01:31,91
Year 2014_Monday til Friday,45 - 59 years,Voluntary work and meetings,02:11,131
Year 2014_Monday til Friday,45 - 59 years, Organisational work ,01:58,118
Year 2014_Monday til Friday,45 - 59 years, Informal help to other households,01:37,97
Year 2014_Monday til Friday,45 - 59 years,Participatory activities,02:51,171
Year 2014_Monday til Friday,45 - 59 years,Social life and entertainment  ,01:10,70
Year 2014_Monday til Friday,45 - 59 years, Sociability,00:44,44
Year 2014_Monday til Friday,45 - 59 years, Visiting and receiving visitors,01:14,74
Year 2014_Monday til Friday,45 - 59 years, Culture,02:06,126
Year 2014_Monday til Friday,45 - 59 years, Entertainment ,01:35,95
Year 2014_Monday til Friday,45 - 59 years, Resting — Time out,00:33,33
Year 2014_Monday til Friday,45 - 59 years,Sports and outdoor activities ,01:30,90
Year 2014_Monday til Friday,45 - 59 years, Sports,01:30,90
Year 2014_Monday til Friday,45 - 59 years,Outdoor activities ,01:41,101
Year 2014_Monday til Friday,45 - 59 years,Hobbies and games,01:09,69
Year 2014_Monday til Friday,45 - 59 years, Arts,01:16,76
Year 2014_Monday til Friday,45 - 59 years, Collecting,00:50,50
Year 2014_Monday til Friday,45 - 59 years, Computing,01:05,65
Year 2014_Monday til Friday,45 - 59 years, Games,00:41,41
Year 2014_Monday til Friday,45 - 59 years,Media,02:28,148
Year 2014_Monday til Friday,45 - 59 years, Reading,00:54,54
Year 2014_Monday til Friday,45 - 59 years," TV, video and dvd",02:17,137
Year 2014_Monday til Friday,45 - 59 years," Listening to radio, music",00:26,26
Year 2014_Monday til Friday,45 - 59 years,Travel,01:39,99
Year 2014_Monday til Friday,45 - 59 years, Travel related to eating,00:28,28
Year 2014_Monday til Friday,45 - 59 years, Travel to/from work,01:05,65
Year 2014_Monday til Friday,45 - 59 years, Travel related to study,00:59,59
Year 2014_Monday til Friday,45 - 59 years, Travel related to household care,00:57,57
Year 2014_Monday til Friday,45 - 59 years, Travel related to voluntary work and meetings ,00:47,47
Year 2014_Monday til Friday,45 - 59 years, Travel related to social life,00:56,56
Year 2014_Monday til Friday,45 - 59 years, Travel related to sports,00:33,33
Year 2014_Monday til Friday,45 - 59 years, Travel related to changing locality,00:30,30
Year 2014_Monday til Friday,60 - 74 years,Personal care,11:50,710
Year 2014_Monday til Friday,60 - 74 years,Sleep,08:45,525
Year 2014_Monday til Friday,60 - 74 years,Eating,02:03,123
Year 2014_Monday til Friday,60 - 74 years,Other personal care,01:03,63
Year 2014_Monday til Friday,60 - 74 years,Employment,05:38,338
Year 2014_Monday til Friday,60 - 74 years, Main job,06:12,372
Year 2014_Monday til Friday,60 - 74 years, Job seeking,,
Year 2014_Monday til Friday,60 - 74 years, Second job,03:34,214
Year 2014_Monday til Friday,60 - 74 years,Study,01:55,115
Year 2014_Monday til Friday,60 - 74 years, School or university,,
Year 2014_Monday til Friday,60 - 74 years, Homework,,
Year 2014_Monday til Friday,60 - 74 years, Free time study,01:55,115
Year 2014_Monday til Friday,60 - 74 years,Household and family care,04:06,246
Year 2014_Monday til Friday,60 - 74 years, Food management,01:19,79
Year 2014_Monday til Friday,60 - 74 years, Household upkeep,01:14,74
Year 2014_Monday til Friday,60 - 74 years, Making and care for textiles,01:09,69
Year 2014_Monday til Friday,60 - 74 years, Gardening and pet care,01:38,98
Year 2014_Monday til Friday,60 - 74 years, Construction and repairs,01:50,110
Year 2014_Monday til Friday,60 - 74 years, Shopping and services (excluding online services),01:13,73
Year 2014_Monday til Friday,60 - 74 years, Household management (excluding online services),00:50,50
Year 2014_Monday til Friday,60 - 74 years, Childcare (less than 17 years) ,02:23,143
Year 2014_Monday til Friday,60 - 74 years, Help to an adult household member ,01:43,103
Year 2014_Monday til Friday,60 - 74 years,Voluntary work and meetings,02:46,166
Year 2014_Monday til Friday,60 - 74 years, Organisational work ,02:37,157
Year 2014_Monday til Friday,60 - 74 years, Informal help to other households,02:33,153
Year 2014_Monday til Friday,60 - 74 years,Participatory activities,01:52,112
Year 2014_Monday til Friday,60 - 74 years,Social life and entertainment  ,01:13,73
Year 2014_Monday til Friday,60 - 74 years, Sociability,00:42,42
Year 2014_Monday til Friday,60 - 74 years, Visiting and receiving visitors,01:02,62
Year 2014_Monday til Friday,60 - 74 years, Culture,02:19,139
Year 2014_Monday til Friday,60 - 74 years, Entertainment ,01:14,74
Year 2014_Monday til Friday,60 - 74 years, Resting — Time out,00:31,31
Year 2014_Monday til Friday,60 - 74 years,Sports and outdoor activities ,01:57,117
Year 2014_Monday til Friday,60 - 74 years, Sports,01:47,107
Year 2014_Monday til Friday,60 - 74 years,Outdoor activities ,04:47,287
Year 2014_Monday til Friday,60 - 74 years,Hobbies and games,01:40,100
Year 2014_Monday til Friday,60 - 74 years, Arts,01:58,118
Year 2014_Monday til Friday,60 - 74 years, Collecting,,
Year 2014_Monday til Friday,60 - 74 years, Computing,01:34,94
Year 2014_Monday til Friday,60 - 74 years, Games,01:10,70
Year 2014_Monday til Friday,60 - 74 years,Media,03:47,227
Year 2014_Monday til Friday,60 - 74 years, Reading,01:03,63
Year 2014_Monday til Friday,60 - 74 years," TV, video and dvd",03:06,186
Year 2014_Monday til Friday,60 - 74 years," Listening to radio, music",00:28,28
Year 2014_Monday til Friday,60 - 74 years,Travel,01:28,88
Year 2014_Monday til Friday,60 - 74 years, Travel related to eating,00:36,36
Year 2014_Monday til Friday,60 - 74 years, Travel to/from work,01:18,78
Year 2014_Monday til Friday,60 - 74 years, Travel related to study,01:29,89
Year 2014_Monday til Friday,60 - 74 years, Travel related to household care,00:57,57
Year 2014_Monday til Friday,60 - 74 years, Travel related to voluntary work and meetings ,00:56,56
Year 2014_Monday til Friday,60 - 74 years, Travel related to social life,00:55,55
Year 2014_Monday til Friday,60 - 74 years, Travel related to sports,00:36,36
