age,educ,exper,hours,wage,faminc,nkids,city
33,12,2,1224,3.5461,18150,3,1
36,12,6,240,2.6375,6985,2,0
45,12,17,960,2.5253,30600,1,1
50,12,8,1680,0,23100,1,1
35,12,10,0,0,10190,3,0
38,17,24,1120,8.0357,22000,0,1
50,12,10,160,1.2019,24500,0,0
53,7,9,0,0,10700,0,0
37,17,6,1352,2.6,27900,4,0
57,14,9,0,4.2339,57000,1,1
41,10,15,0,0,15150,1,1
43,12,3,0,0,22650,3,1
45,12,13,2058,3.5052,28600,1,0
49,12,29,1715,22.5,22300,0,1
41,12,1,0,0,15300,4,1
45,12,20,2000,2.375,11050,0,0
36,12,1,0,0,9090,3,0
58,13,7,0,0,18600,0,1
48,12,10,0,1.6,18850,2,1
36,12,18,2272,4.7269,22650,2,1
51,12,30,573,1.5345,16600,1,0
50,12,4,0,0,37250,2,1
43,12,4,112,0,19772,0,0
45,16,4,0,0.3826,88000,2,1
46,12,4,0,1.25,16000,0,1
45,12,15,800,0,12160,0,0
45,12,6,1521,2.1277,15519,0,0
32,12,8,0,2.7027,16600,3,0
34,16,7,352,3.4091,11000,2,0
46,10,28,2205,4.5351,21384,0,0
45,12,8,0,0,13399,1,0
42,13,14,2045,0,19500,0,1
33,12,11,1840,2.9891,34550,7,1
48,12,8,0,0,20300,1,1
33,12,5,0,0,18220,3,0
36,14,12,2312,6.875,22200,4,1
47,12,1,0,0,22962,1,1
50,12,2,0,0,11225,1,1
30,12,0,0,0,25100,2,0
41,15,11,1500,4.4444,21520,0,1
52,12,23,0,0,19237,0,1
46,12,10,0,0,41500,2,1
54,12,6,0,4.8966,16200,0,0
39,12,6,0,0,12807,2,1
31,12,1,0,0,21650,2,0
44,9,19,1878,1.1111,14400,0,0
50,11,29,450,2.3585,19007,0,0
47,14,12,1052,6.8677,24000,0,1
47,17,4,12,3.6667,91044,2,1
38,12,2,0,0,9400,1,1
42,10,3,0,0,26000,3,1
38,12,10,0,0,18600,1,1
30,10,10,1446,3.3072,23591,1,1
56,12,29,2033,5.1648,12400,0,0
60,12,20,0,0,35702,0,1
31,10,10,2419,4.6875,24400,1,1
30,12,12,2000,0,13000,3,0
53,12,0,0,0,8630,0,1
39,11,0,989,2.1234,20957,1,0
33,12,2,1355,1.25,18000,3,1
46,12,12,2261,4,43550,1,1
33,12,1,112,2.6786,15810,3,0
38,12,18,1800,3.46,33100,3,1
52,12,3,0,2,43210,0,1
44,12,10,1868,3.0277,24900,2,0
58,13,12,300,2,16300,1,1
36,12,4,200,0,17640,1,0
33,12,4,1240,0.6642,15700,1,0
40,12,2,352,0,26000,1,1
37,12,3,0,2.6667,20960,2,1
42,14,9,0,2.3585,20050,2,0
32,16,9,794,9.8611,18800,3,1
48,11,7,0,0,10660,1,1
51,7,0,0,0,44988,4,1
43,16,13,660,1.25,35350,2,1
32,12,10,1960,4.7269,24400,4,1
40,12,14,0,0,19876,3,1
44,16,13,2030,5.787,35100,0,1
37,16,2,0,3.0769,21950,2,1
50,12,8,0,3.2143,25700,1,0
32,13,10,0,0,20000,2,1
47,16,25,1912,4.7688,23300,0,1
30,12,8,1240,5.8065,15700,4,1
38,12,0,1153,4.3365,13120,1,1
38,11,2,1350,0,16788,0,1
47,12,18,0,0,7044,0,1
35,12,14,3000,4.7421,19900,2,1
43,16,12,1830,7.1429,26060,1,1
38,11,4,0,4.2105,26868,4,1
42,9,2,0,2.6375,10000,0,1
53,12,18,0,0,27760,0,1
52,14,6,1581,2.9891,29850,0,1
46,12,2,0,0,39000,1,0
33,12,4,0,0,18520,2,1
47,16,13,200,1.3889,31100,1,1
37,9,6,450,0,13300,3,0
60,13,29,1820,3.6687,41800,0,1
46,12,10,0,2.0833,18300,0,1
44,14,2,384,0,23700,0,1
30,16,1,112,2.6786,33600,3,1
47,12,18,1260,4.3651,20405,1,0
54,12,22,1984,4.4859,17200,2,1
31,12,29,2000,4.0984,13600,2,0
36,17,12,1327,3.9194,26350,3,0
50,10,10,0,0,11203,1,0
34,12,10,288,0.819,20155,2,0
32,16,10,1578,3.9286,39100,3,1
34,16,4,1952,8.0357,36200,3,1
41,14,1,0,0,19151,3,1
45,14,5,0,2.3333,29300,2,1
43,12,17,0,0,13075,2,1
54,8,20,1680,0,13000,0,0
34,8,10,0,0,18232,7,1
58,12,33,1838,4.8966,21660,0,1
31,16,4,2040,3.5613,39000,3,1
32,12,4,0,0,35910,5,1
57,12,9,1080,2.4631,24000,0,1
57,12,16,1880,5.8511,24600,1,0
51,8,1,0,0,28700,0,1
34,12,6,456,1.0965,7300,1,0
44,10,1,0,1.607,14884,0,1
48,12,0,0,0,23000,0,0
58,12,25,0,1.7442,35000,0,1
48,8,11,105,2.7174,11203,0,1
53,8,16,1830,1.1217,26921,0,1
30,12,11,1680,3.5714,9090,0,0
38,11,9,1820,4.0984,33920,2,1
43,12,11,0,0,16600,0,1
38,14,4,0,3.354,48300,3,1
44,11,9,0,0,9800,2,1
34,12,9,1771,13.554,50750,1,1
32,12,15,1610,3.354,21800,1,0
31,13,6,1280,2.5729,45250,2,1
51,12,24,1955,2.1545,12487,2,1
34,12,4,0,0,13700,3,1
34,11,4,1521,1.9724,13000,3,0
39,17,6,196,6.9901,31000,6,0
31,9,4,0,0,10190,3,0
38,12,15,1969,4.063,18232,3,0
49,12,32,0,0,15100,0,1
31,10,4,0,0,4350,3,0
40,17,8,1600,4.9819,29150,2,1
50,13,17,1984,6.8677,22650,0,1
32,12,14,1800,7.8947,15400,2,0
56,5,20,0,0,9380,0,1
40,10,4,0,0,20300,4,1
43,9,1,0,0,14060,2,0
33,12,8,1404,5.6122,39000,3,0
37,9,10,0,0,1500,4,1
37,13,6,0,1.3889,21000,3,1
41,12,18,0,3.2558,19500,1,1
31,10,4,0,0,4350,3,0
45,13,15,0,0,6985,2,0
35,16,11,1516,5.4585,19742,0,0
37,12,3,0,0,13126,0,0
47,11,11,320,0,24850,0,1
59,10,19,2000,1.25,8311,0,0
40,12,4,0,1.6,21000,3,1
44,12,4,0,1.0965,22995,2,1
37,12,10,0,0,18300,2,1
30,14,0,240,2.0833,17200,3,0
40,13,1,0,0,25700,2,1
47,12,14,1610,0,16310,1,0
31,10,4,0,0,4350,1,0
53,12,4,0,0,15700,0,0
40,11,4,0,0,22225,1,1
47,12,11,1264,0,17930,0,1
51,12,20,0,0,7608,0,0
40,12,9,0,0,18200,1,1
51,14,13,0,3.6757,27760,1,1
51,12,9,630,2.4069,24000,1,1
46,11,19,2000,4,26868,0,0
60,12,18,520,2.4638,24800,1,1
43,13,14,0,0,18214,2,1
54,12,4,293,3.3333,39000,0,1
31,14,1,0,0.1282,45250,1,1
36,10,5,0,0,15000,3,1
43,12,3,1080,4.6875,35910,2,1
50,12,25,1923,0,7286,0,1
55,6,37,1823,1.5385,16200,0,0
43,12,8,0,3.7879,17400,3,0
39,12,10,1456,0,19151,5,1
44,16,17,1486,7.4024,26900,3,1
49,12,14,1486,2.882,26680,0,1
33,11,4,196,1.3889,21500,3,1
34,13,2,0,0,13440,6,0
47,17,23,996,5.4113,73600,0,1
30,12,4,0,0,17635,2,1
52,9,35,1984,2.3185,9400,1,1
43,12,9,2045,2.9891,21972,3,1
32,14,9,1878,6,33570,2,1
35,12,9,0,1.8605,21620,2,1
40,12,29,1791,6.3218,24200,5,1
49,12,1,0,0,24984,0,1
38,12,12,0,0,17350,3,1
33,10,2,0,0,8009,3,0
35,16,7,900,4.4687,22600,4,0
30,12,5,0,0,17350,1,1
45,12,19,732,0,22200,2,1
35,12,4,1225,2.9388,10776,3,0
41,16,9,1174,6.6327,20610,0,1
31,17,7,1350,3.445,20880,2,1
44,12,17,1791,3.6797,28316,1,0
58,13,7,0,0,27000,0,1
52,8,25,910,0,9560,0,0
60,9,0,0,0,14600,0,0
54,12,18,215,2.2754,17100,1,1
44,12,15,1621,2.7174,18450,0,1
38,12,2,0,0,12260,2,1
32,12,10,1976,1.9231,28626,2,1
58,12,32,2208,1.0989,28070,0,0
41,11,7,1910,2.5654,14545,2,0
32,12,4,0,0,11000,2,1
46,10,28,0,4.5351,19500,1,0
41,14,3,0,1.7778,30800,4,0
56,5,20,0,0,13000,0,1
54,13,36,1440,7.0968,15810,0,1
34,12,9,0,1.6,14000,2,0
50,10,10,0,0,8400,1,0
32,12,4,576,0,7000,2,0
41,11,9,0,0,15000,3,1
38,17,7,1516,7.2559,26100,3,0
44,12,15,400,0,24751,0,1
45,17,14,1920,2.931,30800,0,0
38,11,5,0,0,16788,0,1
46,8,3,0,0,13300,1,1
47,12,6,780,1.676,16682,0,0
38,16,15,215,9.3023,14700,2,1
36,12,13,1446,1.4154,15632,4,0
41,13,0,0,0,18900,4,0
35,12,6,270,1.4815,25780,2,1
54,12,27,1923,4.8583,7840,0,1
37,12,11,1260,5.8511,19151,1,0
56,12,1,0,0,16576,0,1
52,12,4,0,0,18200,2,1
51,12,25,1120,5.5556,18180,1,1
48,12,17,0,0,12400,0,1
45,10,2,0,0,30000,0,0
32,12,11,1000,3,19000,1,1
47,13,19,1868,8.9286,51000,0,1
50,11,7,3533,1.5385,26400,0,1
59,17,19,120,4.5716,57000,0,1
45,12,23,2058,2.4484,14100,0,1
42,12,14,0,1.7442,20610,3,0
51,12,9,0,0,26680,3,1
44,12,26,1500,0,20300,1,1
48,12,18,2208,2.1875,26080,0,1
32,10,4,0,0,8009,3,0
43,13,9,0,0,31000,1,1
37,12,6,0,1.1594,28630,3,1
49,5,7,0,0,6531,2,0
33,12,1,0,0,11000,2,1
45,12,7,72,8.5333,26500,1,1
33,12,9,0,0,9450,2,0
41,12,3,1330,2.4958,31875,2,0
52,12,13,0,0,16658,0,1
49,10,20,1280,0.5,15389,0,1
48,11,7,0,0,21620,2,1
30,12,12,0,0,22800,1,0
48,7,13,156,1.1987,13579,0,1
47,9,6,0,5.6391,25700,2,1
44,9,19,240,2.6871,20968,2,0
43,10,6,135,3.6797,31431,1,1
40,12,4,1715,7.0667,20460,3,0
50,12,11,450,0.8602,18900,0,1
52,8,0,0,0,23000,0,0
45,12,9,1738,4.5645,20130,1,1
42,10,0,0,0,14000,2,0
36,12,9,532,0.3826,8630,2,0
40,8,13,0,0,14800,2,1
43,14,5,0,0,48300,2,1
45,12,11,0,2.1798,31800,3,1
52,12,25,1440,14.631,52645,0,0
46,12,14,0,0,40500,1,1
51,12,14,1500,4,21950,0,1
30,12,4,0,0,25100,2,0
32,13,2,0,3.2134,32685,4,0
43,12,21,1250,4.2347,17200,0,1
37,16,15,0,0,25872,2,1
31,12,0,1080,3.3159,15000,3,0
53,7,0,0,0,10700,1,1
58,9,29,2005,3.6458,22650,0,0
37,17,12,1621,3.1666,31810,2,1
50,12,3,0,0,26500,0,1
32,12,4,1000,1,20155,3,1
34,9,0,0,0,14700,1,0
53,12,11,660,0,20460,1,1
40,12,2,0,0,19000,3,1
43,12,3,0,3.0717,19434,4,1
40,9,9,0,0,22225,2,1
30,10,19,1632,2.3897,13900,2,0
38,12,14,2058,2.931,19007,0,1
48,13,25,0,2.7692,14750,2,1
35,12,8,1944,2.9674,20610,3,1
49,12,2,0,0,13440,0,0
39,12,9,0,0,17200,2,1
30,12,5,0,0,26800,3,1
42,12,11,2000,4.4797,17730,0,0
51,12,16,573,3.3159,16120,1,1
57,12,10,0,0,12400,2,0
54,13,24,1400,2.4958,15500,1,1
54,12,0,0,0,14500,2,1
46,12,0,0,0,24600,5,1
45,12,0,0,0.5,37300,6,1
32,12,7,252,0.3571,12048,2,0
30,17,10,44,0,20000,3,0
45,12,0,450,0,31000,4,1
39,12,5,0,0,18900,8,0
38,9,3,0,0,7574,3,0
50,11,1,0,0,10592,3,1
42,12,6,0,3.4615,9563,0,0
53,12,11,1680,3.5714,14090,0,0
50,12,33,0,0,13000,0,0
37,12,3,2000,4.5503,18150,2,0
47,12,15,800,3.4014,12160,0,0
46,17,10,1680,8.9286,37300,1,1
36,8,18,1880,3.5931,19175,3,0
50,12,9,0,0,30000,5,1
45,12,0,0,0,21950,0,0
37,12,19,1352,8.2237,13200,8,1
42,13,10,0,4.7986,63500,3,1
55,6,37,1920,23.467,15428,0,0
43,8,20,1400,4,24400,0,1
44,12,3,0,0,1500,0,1
43,12,4,0,0,14400,0,0
46,11,6,0,0,22660,2,1
42,12,5,0,1.607,13440,0,1
49,12,12,1663,3.2096,12900,3,1
38,16,21,1092,2.907,34550,0,1
35,12,1,120,3.3333,9400,3,1
54,12,13,1040,2.6375,24000,0,1
46,12,9,2064,3.1728,21660,0,1
43,12,2,2000,0,24000,2,1
35,12,5,0,0,20050,3,0
49,12,4,0,0,16000,2,1
45,17,7,0,0,20880,4,1
60,8,12,2052,8.0409,37300,0,0
51,12,15,0,0,16510,1,1
40,12,17,1878,2.3896,23150,1,1
37,16,10,980,8.1746,23750,1,1
49,12,12,1715,9.3294,35700,0,1
44,17,1,12,10.249,50750,2,1
36,12,10,0,0,15500,2,0
53,10,11,0,0,29000,0,1
34,12,15,1599,3.825,30000,1,1
55,14,28,1832,6,29150,0,1
41,12,2,1910,2.5654,14545,2,1
50,13,32,1040,22.5,25700,2,1
32,12,11,2058,3.9194,35641,3,0
34,17,19,1520,5.8675,26000,2,1
54,12,14,0,2.5,13810,0,1
59,8,15,1656,0,22422,0,1
46,11,14,2000,3.9683,19365,0,0
41,12,3,0,0,13390,1,0
36,17,20,1960,4.0816,21768,3,0
37,14,19,1939,3.9286,26680,3,1
31,12,4,0,0,5330,2,0
49,12,25,200,25,24000,2,1
31,9,9,651,2.1505,21650,0,1
30,12,4,980,2.25,30000,1,1
38,12,12,0,0,24470,3,1
53,12,16,1886,4.1167,23675,0,0
42,16,32,1880,15.385,12870,0,1
44,12,1,0,0,13390,1,0
40,12,3,0,0,14550,2,1
47,11,10,0,2,5380,5,1
51,12,19,1336,4.1489,18500,0,0
43,12,2,0,0,21000,3,1
53,12,33,1715,3.6757,18232,0,0
54,12,1,0,0,16150,0,1
51,12,6,0,0,21900,1,1
36,17,13,2000,8.0409,37250,3,1
48,12,14,1260,0,21620,0,0
32,15,4,0,0,32950,1,1
54,13,24,1920,9.6354,32300,0,1
45,17,6,1494,3.6757,58500,0,1
42,10,7,0,0,11203,1,1
42,12,7,346,5.8671,17730,0,0
41,17,3,2318,3.445,33220,2,1
32,16,6,0,3.5052,28160,1,1
40,17,25,48,22.5,20880,2,1
51,7,0,0,0,44988,0,0
51,14,0,0,1,35700,1,1
45,12,5,0,0,29300,2,1
47,8,4,0,0,19772,1,1
33,12,2,0,0,17635,1,1
36,12,10,0,4.3295,19600,4,0
32,12,6,0,0,47500,4,1
33,12,10,0,0,19876,3,1
39,12,8,0,0,28450,3,1
46,12,15,1969,25,12487,1,1
41,12,4,0,0,19500,1,0
49,12,22,0,0,8630,0,1
38,10,5,0,0,15830,2,0
31,12,10,0,0,1500,0,1
56,17,14,450,0,35350,0,0
37,13,10,0,0,37600,2,1
53,17,22,0,10.204,32600,0,1
39,12,3,1885,1.3333,26400,2,1
46,12,10,0,0.1282,37600,2,1
48,16,35,1944,4.6235,19000,0,1
35,14,3,0,0,18010,3,1
56,14,11,282,0,19000,2,1
51,9,2,0,0,19700,3,1
42,12,19,1984,4.2339,19800,1,1
43,12,5,0,0,24760,5,1
46,12,3,0,0,62060,0,1
36,16,5,0,0,5330,3,1
37,12,4,1350,1.7407,15100,1,0
58,8,2,0,0,10592,0,1
56,12,2,800,2.25,37300,1,1
45,12,15,800,6.8182,14450,0,0
50,14,4,0,0,18965,0,1
56,12,14,1500,2.6,24580,0,0
49,12,0,0,0,8630,0,1
51,11,29,0,2.7778,10300,1,1
47,16,8,0,0,28900,1,1
49,12,24,15,2.7027,2400,1,1
40,14,1,1791,2.9891,52645,0,1
32,12,1,1000,1,19022,3,0
43,14,23,2025,3.9286,24470,0,1
35,12,7,1153,3.6694,35000,3,1
51,14,24,2058,23.467,24669,1,1
36,12,9,0,0,13072,0,0
56,12,20,0,0,21700,1,1
34,9,0,0,0,20528,2,0
48,13,6,0,2.8818,29200,1,1
43,12,15,0,0,17500,2,1
37,12,8,2012,1.0965,34000,2,0
47,17,8,1720,3.8068,79750,5,1
43,12,16,2220,4.0541,19007,1,0
45,14,6,0,0,42100,3,1
55,16,25,716,2,21768,1,1
39,8,15,989,0,15189,1,0
49,11,14,0,0,14800,0,1
31,16,11,1680,5.4167,18450,2,0
42,12,13,0,0,28141,2,1
53,12,14,1680,4.7269,15000,1,1
36,16,0,1600,4.7826,16450,3,0
49,12,18,1886,5.787,30600,1,0
53,10,11,1750,2.5429,12239,0,1
54,12,14,1530,2.6375,22200,0,0
41,12,6,1355,0,30623,3,1
37,9,2,782,1.5345,12077,1,1
49,12,16,1530,1.1111,22200,2,0
45,12,7,1376,5.6122,41800,1,1
35,12,4,180,1.6667,2500,4,0
30,12,11,1621,3.5714,14090,0,0
31,13,2,0,0,22000,4,0
30,12,1,0,2.0833,19007,3,0
41,13,4,537,1.676,22000,1,1
58,12,29,1600,5.3398,22650,0,0
58,13,6,0,0,22200,1,1
44,9,12,993,4.8583,32300,3,1
48,16,10,910,5.814,24656,2,1
41,12,5,480,0,58500,0,0
40,12,7,1600,4.6235,15810,4,1
56,17,15,0,0,34000,1,1
52,10,15,0,0,15150,1,0
44,12,5,0,0,24686,1,1
44,12,11,120,0,17290,2,1
56,16,7,0,3.46,51000,2,1
53,12,9,0,0,22660,4,1
49,12,12,0,0,16736,0,1
39,17,6,196,2.071,12807,0,1
55,12,15,1230,0,30000,2,0
31,17,7,1128,8.5333,25700,4,1
54,16,7,0,0,35020,3,1
37,11,15,1521,1.9724,13000,3,1
36,12,5,400,1.6264,5965,3,0
35,11,1,0,0,12367,3,0
37,12,12,1224,3.5714,14300,3,1
42,12,13,1656,4.5918,21800,2,0
39,17,14,460,4.7826,17200,3,1
52,10,10,0,0,18800,2,1
58,8,37,1302,1.5845,41800,0,1
34,12,2,0,0,10000,1,1
39,14,13,0,0,16682,4,1
42,12,0,0,0,15980,5,1
47,12,18,1120,7.0968,26201,0,1
32,14,13,910,2.5429,16000,2,1
48,11,9,258,4.3365,48800,0,0
36,12,5,0,0,14200,3,1
47,12,2,0,0,13350,2,0
30,12,4,240,2.0833,2500,3,0
49,7,2,0,0,11000,1,1
36,11,10,0,4.9689,24400,3,1
49,12,19,337,1.2019,9800,0,1
43,16,13,0,1,37250,0,1
42,14,6,1984,6.8677,30600,2,0
36,12,15,1960,4.0816,22500,3,1
32,12,13,0,1.2245,14800,2,1
30,12,10,1316,8.6111,31800,8,0
31,12,12,0,0,18000,0,0
47,12,14,1008,0,13530,3,1
50,12,12,1040,0,35000,0,1
39,12,11,520,0,23260,4,1
33,12,15,0,0,26060,1,1
30,12,2,680,2.3118,26900,1,0
45,12,10,532,3.7879,24000,0,1
35,12,2,160,4.5455,21040,3,0
32,12,6,573,5.123,23820,2,1
46,14,3,0,0,41500,0,1
37,16,11,778,3.4615,21600,2,0
34,12,10,0,0,18520,2,1
34,14,15,1848,0,30300,1,1
44,12,15,910,5.814,20050,3,0
35,12,6,0,1.7778,17410,3,1
57,10,8,0,3.8613,28200,0,1
35,9,6,772,1.7778,13300,3,1
37,11,0,0,0,25700,4,1
47,12,4,0,0.7143,16000,4,1
30,13,14,2014,4.8966,35000,1,1
37,13,14,2261,4.9763,40213,1,1
32,12,1,0,0,7286,3,0
32,12,2,2340,0.3571,12239,2,0
52,17,25,2312,6,51200,0,1
30,10,18,2419,3.3072,18300,2,1
38,12,8,0,0,33100,3,1
60,12,15,1969,6,33600,0,1
52,10,14,0,0,12400,0,0
59,16,15,732,2.459,45205,1,1
45,12,8,1101,2.9388,14500,3,1
48,12,2,0,0,40213,2,1
43,13,8,0,0,25780,4,1
31,16,16,0,0,16658,1,1
53,16,12,154,0.1282,30600,0,1
51,10,3,0,0,10660,1,1
30,17,24,1875,6.8493,23300,0,1
47,12,12,0,0,18500,5,0
45,10,7,0,0,30000,0,0
31,16,10,2058,4.599,36430,3,1
34,14,2,1158,3.9683,19900,3,1
54,12,2,0,0,14450,2,1
52,12,27,1984,4.2347,15519,0,0
36,16,7,44,6.8182,23300,4,0
47,12,5,0,0,16700,2,1
32,14,15,1809,10.249,33856,3,1
45,13,5,0,0,21025,2,1
44,9,1,0,0,18900,0,1
45,10,10,2000,4.2877,24669,2,1
31,12,8,0,0,9952,3,1
37,12,3,0,1.9,37100,1,0
53,14,3,0,0,41500,1,0
56,12,30,2045,0,18550,0,0
57,11,19,0,0,22225,2,1
34,12,3,0,0,24701,2,1
51,10,10,0,0,16400,1,1
42,12,7,1428,1.7108,28900,1,1
35,14,8,0,1.5385,24400,3,1
45,12,8,0,2.2899,17200,1,1
43,12,45,2419,4.3651,43210,2,0
45,12,2,0,0,15150,1,1
52,14,28,2058,6.8677,34550,1,1
35,16,5,0,0,23000,2,1
52,12,22,456,2.3111,6114,0,0
48,17,27,1720,4.4444,27017,0,0
43,12,17,757,0,13075,1,1
53,12,0,0,0,13420,0,1
60,17,20,0,10.638,28141,0,1
50,8,9,1600,1.0938,21700,0,0
35,13,15,1904,2.6667,29300,3,1
42,11,5,0,0,7500,4,0
36,12,9,0,1.641,10455,3,1
35,10,4,1750,2.9388,15500,5,0
43,12,20,1872,1.7163,18600,0,1
52,12,29,1176,3.0612,15700,0,1
37,11,8,0,0,27000,1,0
56,9,19,1336,2.6738,14027,1,0
42,16,27,2025,4.6875,18000,0,1
54,11,26,1040,1.5385,24400,0,1
44,14,15,2000,10.249,35100,1,1
49,8,0,0,0,68035,2,1
41,12,11,0,0,14756,0,1
41,17,2,772,0,35200,3,1
49,7,2,0,0,11000,1,1
39,12,7,1600,3.2143,25516,2,0
41,12,6,0,1.625,24900,0,1
42,14,14,72,0,17900,2,0
57,17,29,15,23.467,24751,0,1
43,14,10,0,0,51000,2,1
58,12,32,3640,6,25300,0,1
32,15,19,2500,1.6,20200,3,1
45,17,27,2144,4.0437,28700,0,0
39,12,1,0,0,24760,2,1
32,13,3,0,0,18214,4,0
45,12,14,1578,2.2324,16212,2,0
34,14,15,480,5.814,18180,3,1
43,12,6,0,2.1277,39750,2,1
50,12,11,1664,8.3333,13000,0,1
47,6,16,573,3.3159,16600,0,1
44,10,10,0,0,8400,1,0
46,14,22,4950,2.5,21152,1,1
56,12,4,282,3.5461,25700,0,0
49,11,13,0,0,27000,1,0
45,12,8,0,0,29300,0,0
37,12,7,1275,2.205,39000,3,1
40,12,5,0,2.6667,28200,2,1
35,12,3,1528,3.8613,28200,2,1
44,12,6,0,0,29650,2,1
32,12,7,420,0.4762,22660,3,1
33,12,2,0,0,8009,3,0
59,12,38,1809,4.5645,32300,0,1
36,12,1,0,0,9090,2,0
30,12,0,0,0,25100,2,0
56,12,6,0,0,15810,0,1
46,12,8,0,0,19500,2,1
49,12,8,732,0,13399,1,1
47,10,15,293,0,22422,0,1
49,11,20,1280,0.5,20405,0,1
54,12,11,1610,2.6,19742,0,0
30,14,3,0,0,26040,2,0
45,7,15,2058,3.9609,29300,1,1
31,14,5,520,2,25872,4,1
31,13,4,120,1.676,15420,1,1
33,16,0,0,0,12807,1,1
39,17,12,180,0.3826,37300,2,1
50,14,9,2090,8.6538,66300,0,1
38,17,5,0,0,37250,1,1
51,12,33,1680,7.2559,35641,1,1
49,13,19,760,1.75,14209,1,1
41,12,2,0,0,6985,2,1
46,8,9,0,0,24470,4,1
46,11,4,1521,3.46,13000,1,0
54,12,22,740,5.6122,28630,0,0
54,7,20,0,0,10040,0,1
41,12,7,0,0,21417,3,1
57,12,9,0,0,12925,0,1
53,6,8,0,0,3777,3,1
51,17,14,0,6.5826,62500,1,0
43,12,8,1728,5.787,38590,3,1
50,13,22,0,0,12405,0,1
42,12,18,1600,3.25,41800,0,1
37,16,8,1440,3.4014,24000,2,1
56,12,18,2480,2.907,12400,0,1
53,12,10,450,3.3159,30650,1,1
36,16,19,2215,3.5052,24000,1,0
37,12,19,1632,0,13900,3,0
58,14,17,0,2.7629,32685,0,0
45,12,17,3087,6,26820,0,1
30,12,10,0,0,17700,1,1
55,12,0,0,0,13400,1,1
48,12,5,0,0,26613,0,0
48,16,19,910,10.459,31600,0,1
52,12,11,0,0,18850,0,1
31,16,16,2100,10.249,25300,1,1
50,12,21,1264,8.19,42700,1,1
39,12,1,0,0.2137,22000,1,1
52,8,0,0,0,23000,2,0
46,12,19,1376,0,30000,2,1
45,16,9,2000,6,23900,2,1
35,13,24,1939,3.1975,28626,2,0
32,12,3,1000,3.3333,21120,4,1
41,15,2,0,0,18450,4,0
48,12,11,1840,0.1282,23500,0,1
35,12,9,340,0,16084,2,1
50,12,8,0,0.5,34000,1,0
46,12,9,225,1.6,20610,0,1
46,14,15,1052,4.5627,15519,0,1
