fatheduc,motheduc,nkids,faminc,huswage,hushrs,husage,huseduc,city,unem,inlf,mtr
7,0,1,10660,9.5238,840,52,13,1,14,0,0.7715
12,10,1,28000,5.402,3060,43,13,1,11,1,0.5815
7,16,2,31000,4.686,4160,37,17,1,11,0,0.6615
7,7,4,15100,5,2400,41,12,0,3,1,0.7515
16,16,1,33552,7.2308,2600,37,14,1,9.5,1,0.5215
7,7,1,15900,4.6053,2248,37,17,0,9.5,1,0.7215
0,0,6,15200,3.3742,1304,38,9,1,7.5,1,0.7515
3,3,3,10190,4.3457,1984,34,12,0,14,0,0.7915
7,10,3,31000,18,2156,46,12,1,14,1,0.6615
3,12,3,24795,5.2632,2850,37,12,0,5,1,0.6915
7,7,1,14700,3.1863,2040,52,12,0,14,1,0.7215
7,7,1,16240,7.9787,2100,51,10,1,11,0,0.7215
9,7,1,11000,6.1659,1784,58,6,1,9.5,0,0.7815
7,7,0,15000,2.217,4368,57,8,0,7.5,0,0.7215
7,7,1,29774,8.577,2544,39,12,0,3,0,0.6215
12,12,0,24000,9.8765,2160,50,13,1,7.5,0,0.6215
7,7,0,18900,9.9474,1900,55,12,0,11,0,0.6915
12,12,0,15652,4.7364,2499,47,12,0,7.5,1,0.7215
9,14,1,29553,11.685,2040,47,10,1,14,1,0.5815
12,12,1,30000,7.1006,3380,46,12,1,11,0,0.6215
7,12,4,20050,4.7103,2123,40,10,0,11,1,0.6915
10,10,3,19007,7.1565,2025,38,12,1,7.5,0,0.6915
3,7,4,2500,0.5494,3640,33,11,0,3,1,0.9415
7,7,1,39000,12.766,1880,56,12,1,11,1,0.5815
7,7,3,14136,6.5337,1560,42,9,0,5,0,0.7515
7,7,1,17300,6.6496,1955,42,12,1,7.5,1,0.7215
10,12,0,30000,9.3235,1968,51,16,1,9.5,1,0.5515
7,7,3,18190,4.2975,3644,32,17,0,7.5,1,0.6615
9,10,5,20800,5.814,2580,31,11,1,9.5,0,0.7215
7,7,2,20646,2.9106,2874,40,16,1,7.5,1,0.7215
12,12,2,42000,9.2567,2140,39,17,1,14,1,0.5215
7,7,2,19022,9.2955,2044,33,15,1,11,1,0.6915
7,12,2,14000,4.183,2016,39,12,1,14,0,0.7515
12,12,3,18600,6.3776,1960,35,14,1,7.5,1,0.6915
12,10,1,17350,5.508,2595,35,12,1,7.5,1,0.6915
7,10,1,14800,6.1498,1824,45,13,1,7.5,1,0.7215
16,10,2,18600,9.9474,1748,51,12,1,5,0,0.6915
12,12,1,27760,6.5106,2080,52,12,1,14,1,0.6215
3,3,4,19365,6.6775,2304,50,12,1,11,0,0.7215
7,7,1,20968,4.1269,1955,46,8,0,3,0,0.7515
7,7,0,18220,1.854,2670,60,12,0,11,1,0.6915
16,12,2,18200,5.8669,2284,35,12,0,7.5,1,0.6615
3,3,0,37700,7.8529,2040,59,5,0,7.5,0,0.6215
7,7,3,17410,3.463,2700,43,12,0,3,1,0.7215
0,3,6,10400,3.4615,2080,33,7,0,7.5,1,0.7815
7,7,2,12239,4.5173,2205,45,4,0,14,0,0.7515
3,7,0,8311,13.542,288,51,10,1,11,1,0.7515
10,12,2,24149,9.3333,2400,37,14,1,7.5,1,0.6615
7,7,0,48800,14.583,1920,58,16,1,11,1,0.4615
7,7,4,16310,8.3333,1020,45,12,1,7.5,1,0.7515
12,12,5,7232,0.7595,2200,30,12,0,7.5,0,0.9415
12,12,0,24717,7.5449,2470,56,17,1,7.5,1,0.5815
12,12,2,32590,8.279,2860,39,13,0,5,1,0.6215
7,3,1,12077,5.2863,2044,45,10,1,9.5,1,0.7715
12,12,2,26500,8.5366,2632,37,16,1,11,0,0.6215
12,12,2,21520,8.279,1993,39,15,1,11,1,0.6915
12,12,0,30200,8.9329,1980,58,12,1,11,0,0.6215
17,12,2,15500,7.2917,1668,45,16,1,7.5,1,0.7215
7,7,0,10300,5.8824,1496,54,11,1,5,1,0.7515
7,7,1,22000,8.3369,2227,57,10,0,5,0,0.6915
7,7,1,13126,5.5556,2250,41,12,1,5,1,0.7515
7,7,0,16240,3.9838,2000,60,12,0,5,1,0.6915
14,12,3,42430,9.3235,1980,48,12,1,14,1,0.5215
7,7,2,35700,11.981,2580,39,17,1,9,0,0.5215
7,7,1,16500,5.5556,2020,41,8,1,9.5,1,0.7215
12,12,4,13530,6.5934,1968,40,17,1,5,1,0.7215
7,17,1,13066,7.5,1160,32,12,1,14,1,0.7515
7,7,1,33671,9.2308,2350,56,12,1,14,0,0.7215
10,10,0,18750,3.8864,2000,56,12,0,11,0,0.6915
7,12,2,29150,11.458,1920,56,12,1,7.5,1,0.5815
3,3,0,14027,7.5758,1261,53,6,1,14,0,0.7515
7,10,1,30455,13.243,1920,47,10,1,14,0,0.5815
7,12,2,15500,2.9631,1984,42,10,1,7.5,1,0.7215
7,12,3,28900,6.425,1950,39,14,1,7.5,1,0.5815
12,12,2,26220,7.5449,2140,47,17,1,5,1,0.6615
10,10,0,22610,4.1995,3120,56,13,1,9.5,0,0.7215
7,7,1,8400,2.3478,2300,60,8,0,14,0,0.7815
7,12,0,21384,6.9079,2000,52,12,1,7.5,1,0.6615
3,12,0,35910,12.44,1705,55,8,1,11,1,0.6215
7,7,0,42700,16.064,1880,47,16,1,7.5,1,0.4915
0,0,3,15200,5.6922,1304,38,9,1,7.5,1,0.7915
10,0,0,16308,3.468,2223,39,7,1,7.5,1,0.6915
7,16,1,20200,7.8883,2041,46,12,0,7.5,1,0.6615
10,12,0,21100,7.52,2184,55,12,1,7.5,0,0.7515
7,7,2,35600,4.5466,2059,48,12,1,9,1,0.5815
7,7,0,18150,7.5057,1880,50,12,0,11,0,0.7215
12,7,4,25780,8.362,2400,41,17,1,7.5,1,0.6615
7,12,6,32600,8.3333,2750,36,16,1,11,1,0.6215
12,14,3,15980,5.1282,1560,42,14,1,7.5,1,0.7215
7,12,4,11000,5.6122,1984,35,12,1,14,0,0.7515
0,7,2,28316,8.8458,1984,39,12,1,11,1,0.6915
7,7,0,14209,4.3294,2125,45,11,1,5,0,0.7515
10,10,0,23980,8.7912,1820,50,8,0,11,1,0.6615
7,7,4,19600,6.0386,1656,38,8,0,14,1,0.7215
7,7,3,19500,6.6288,2112,30,12,0,7.5,1,0.6915
7,7,2,23000,8.5106,2640,44,17,1,11,0,0.6915
7,17,2,20500,4.183,1960,54,7,0,7.5,1,0.7215
7,7,3,4350,3.6458,2070,33,9,0,7.5,0,0.9415
10,10,0,45500,12.936,1848,53,12,1,7.5,1,0.4915
7,7,4,19500,8.7634,1020,45,12,1,14,0,0.7515
7,7,3,58500,17.25,1950,40,16,1,7.5,1,0.4915
10,7,8,5550,2.9476,2005,34,10,1,9.5,0,0.9415
12,12,3,24795,6.3776,1960,35,14,1,7.5,1,0.6915
7,12,3,23900,8.8077,2080,34,16,1,14,1,0.6215
14,12,2,25700,10.589,2115,46,16,1,7.5,0,0.6915
12,10,2,12100,5.4152,2216,33,16,0,7.5,0,0.7515
7,7,3,15096,11.244,1575,33,12,1,14,0,0.7515
12,12,2,27400,3.8263,3120,48,13,1,7.5,1,0.6615
12,12,2,16150,4.4818,3570,32,17,1,7.5,0,0.7215
7,7,0,13900,1.3013,3120,54,13,0,7.5,1,0.7215
14,7,4,19876,9.0659,2184,30,16,1,7.5,0,0.6915
10,7,0,22050,8.0092,2185,52,12,1,9.5,1,0.6915
3,10,0,15200,2.1194,2470,60,6,1,7.5,0,0.7515
7,7,0,13579,10.909,880,51,11,0,11,0,0.7515
10,10,1,16073,5.55,2360,43,14,1,9,1,0.6915
12,14,1,42800,14.114,1998,40,12,1,11,0,0.6215
12,14,4,21025,8.1347,1710,57,12,1,7.5,0,0.6915
12,10,1,27017,10.87,2108,45,17,1,7.5,1,0.6615
7,7,1,24400,5.4487,3260,53,17,1,9.5,1,0.6615
7,12,3,18000,5.814,2750,34,12,0,11,1,0.7215
7,12,2,4000,3,800,33,14,1,9.5,0,0.7815
10,7,0,26400,6.9103,2100,37,17,1,7.5,0,0.6615
12,12,3,48300,19,2103,37,17,1,9.5,0,0.4915
7,7,2,15300,4.6875,2640,46,9,0,11,1,0.7515
10,16,3,15500,5.3004,2830,39,16,1,5,1,0.7215
7,10,1,18500,4.8885,2205,40,12,0,5,1,0.6915
7,3,0,17258,5.3846,1820,55,4,1,9.5,0,0.7515
7,10,4,15632,8.1081,1176,49,8,1,14,1,0.7715
3,12,0,9560,3.9838,2000,47,17,1,14,1,0.7515
0,0,0,10040,4.4444,2250,52,11,1,3,0,0.7515
7,7,0,13350,6.9079,1520,52,12,0,11,0,0.7215
10,7,0,21417,7.3529,2185,48,12,1,9.5,0,0.7215
14,12,1,25500,7.4882,2008,46,14,1,14,0,0.6615
7,7,0,26613,9.2725,2103,51,16,1,7.5,0,0.6915
12,16,0,24717,8.1081,1040,54,12,1,11,1,0.6615
10,12,4,8100,1.2861,2250,32,16,1,11,1,0.7515
7,7,2,9090,4.2293,2056,42,12,0,3,0,0.7715
12,12,2,24701,4.0145,3315,38,14,1,7.5,0,0.64
7,7,1,19434,6.1111,1920,53,4,1,5,1,0.6915
12,12,2,18200,5.2632,3250,32,16,1,9.5,0,0.6615
7,7,2,24751,11.47,2040,34,10,1,11,0,0.6615
12,10,0,24701,4.8885,3315,47,17,1,9.5,1,0.6615
7,12,2,15830,5.3146,2352,41,8,0,5,0,0.7515
12,12,3,96000,23.81,2940,40,16,1,5,0,0.4415
12,12,1,21768,10.417,2062,50,16,0,7.5,0,0.6915
7,7,2,20405,4.2206,1995,52,4,1,3,1,0.7515
7,7,2,37752,7.2296,2805,38,12,0,3,0,0.5215
7,12,2,15200,1.3075,3096,33,12,0,3,1,0.7815
17,12,3,45500,12.245,2940,42,16,1,9.5,0,0.5
7,12,2,7000,1.3075,3096,33,10,0,3,1,0.7715
7,17,1,13740,1.9854,1160,32,12,0,11,1,0.7215
10,12,0,25000,12.287,1880,51,17,1,7.5,0,0.6215
7,3,1,12000,4.7059,2550,31,12,0,14,0,0.7515
12,7,2,23057,3.1531,2878,42,16,1,9.5,1,0.6915
3,3,0,20320,6.9231,1040,49,5,1,11,1,0.6915
7,7,0,18150,9.5745,1880,50,12,0,11,0,0.6915
7,12,1,19151,5.2632,2250,40,12,0,5,1,0.7215
14,12,3,15700,5.9846,2921,43,12,1,7.5,0,0.7515
10,12,2,18700,6.9888,2504,37,12,0,7.5,1,0.6915
17,17,3,37300,12.22,2020,33,17,1,11,1,0.58
16,14,0,20000,10.417,1920,53,15,1,14,1,0.6615
17,16,1,50900,11.931,2450,38,16,1,7.5,1,0.4915
10,16,1,27017,9.375,2423,46,12,0,14,1,0.6215
7,7,2,21400,8.9835,2115,55,12,1,7.5,0,0.7215
14,7,2,28600,4.3457,2832,53,8,0,11,1,0.6915
7,7,1,14756,7.2274,1605,57,12,1,7.5,0,0.7215
7,7,1,12077,5.2863,1968,34,14,1,9.5,1,0.7515
9,12,1,37000,4.9181,3000,50,15,1,7.5,1,0.5215
3,3,2,22610,3.5612,2450,54,16,1,7.5,1,0.6615
7,7,0,10300,5.8824,2137,47,12,1,5,1,0.7515
10,10,1,19150,5,2400,43,12,0,11,1,0.6915
3,3,1,7044,2.999,1960,47,12,0,14,0,0.7515
7,7,3,10700,1.48,3481,53,9,1,7.5,0,0.7515
12,14,2,29850,14.181,2352,33,17,1,9.5,1,0.6215
7,12,4,20950,4.2206,3260,37,12,1,7.5,0,0.7215
10,12,3,14136,5.9783,3000,41,14,0,5,1,0.7515
7,12,4,21040,3.5807,3072,38,12,0,5,1,0.6915
12,12,1,18200,7.9787,2256,49,12,1,7.5,1,0.6915
7,7,2,19434,5.3527,2410,49,10,0,3,1,0.6915
7,7,4,12048,4.1228,2183,33,10,0,11,1,0.7815
7,7,0,6740,2.7821,1840,53,10,1,11,1,0.7515
7,7,0,10020,4.2105,1864,48,12,1,7.5,1,0.7215
7,7,1,13066,6.6379,2080,32,14,1,11,1,0.7515
10,14,3,24500,7.1277,3173,46,14,1,7.5,0,0.6615
7,7,0,11050,2.9528,2000,60,10,0,14,1,0.7515
16,16,3,7774,2.3251,2504,33,16,0,9.5,1,0.7715
12,12,0,13900,4.2098,3088,48,12,0,5,0,0.6915
3,7,1,15189,5.3476,2805,44,12,1,3,0,0.7215
7,16,3,24000,9.375,1647,34,12,1,11,1,0.6615
12,10,2,24000,6.5789,2223,34,14,1,7.5,1,0.6615
7,12,3,35000,8.8333,2100,31,17,0,11,1,0.5815
12,12,3,33920,4.9181,2880,45,12,1,14,0,0.6615
7,12,3,40000,7.0575,1920,39,12,1,5,1,0.5815
7,7,0,25516,9.1748,2140,48,13,1,9.5,1,0.6215
7,7,5,33856,3.8911,3185,43,13,1,7.5,0,0.6615
14,12,0,28069,4.8077,2640,48,16,0,11,1,0.6215
12,12,3,77000,26.531,2450,44,17,1,9.5,1,0.4415
16,16,0,22600,8.8865,2410,41,15,1,9.5,1,0.6615
12,10,2,14060,6.3521,2204,47,8,0,5,0,0.7215
7,7,0,23300,5.5,2000,40,16,0,7.5,1,0.6615
3,0,0,9560,2.9631,1624,59,8,0,3,0,0.7515
12,12,3,28030,11.47,1960,40,14,1,14,1,0.6615
16,16,0,36000,10.6592,2413,55,16,1,9.5,1,0.5515
7,10,3,16600,7.0578,2352,37,7,1,5,0,0.7215
12,10,2,49620,12.478,2100,56,12,1,7.5,1,0.4615
10,10,0,13700,8.5066,2033,37,17,1,9.5,1,0.6615
10,12,1,18100,9.2567,1496,43,14,1,9.5,1,0.6915
7,12,2,15830,5.3146,2352,41,8,0,5,0,0.7515
3,10,1,14300,3.4806,2241,41,10,1,7.5,1,0.7515
10,7,0,29000,14.796,1960,57,13,1,5,0,0.6215
12,12,3,20500,8.3333,2012,31,14,1,7.5,0,0.7215
12,7,1,14000,2.951,2856,54,12,0,7.5,0,0.7215
10,7,0,16400,6.2174,1765,53,12,1,14,1,0.7215
12,7,0,43550,12.766,2364,52,13,0,7.5,1,0.4915
3,3,3,10190,3.2762,3684,34,4,0,14,0,0.7915
3,3,0,62500,22.109,2352,48,15,1,9.5,1,0.4415
17,16,3,28630,9.058,2916,37,17,1,11,0,0.6215
7,7,2,27000,6.0897,3120,48,12,1,11,0,0.6615
7,12,2,9450,3.9629,2372,34,12,0,9.5,0,0.7515
12,7,1,35200,5.3333,3536,43,9,0,3,1,0.6215
3,7,0,28600,7.8125,1920,44,10,1,5,1,0.6915
7,7,0,7608,1.3741,3432,50,11,0,5,0,0.7515
3,12,3,14300,5.151,1920,35,9,0,11,1,0.7515
12,12,0,38590,15.582,1705,55,14,1,14,0,0.6215
7,3,0,13579,10.909,880,51,8,0,11,1,0.7515
12,12,1,52600,7.5727,3080,43,15,0,5,1,0.4415
7,7,3,31000,5.7054,3856,46,15,1,11,1,0.6215
12,12,2,37300,10,2739,31,14,1,14,1,0.5815
7,7,0,62500,22.109,2223,53,15,1,9.5,1,0.4415
7,7,2,23700,7.3529,2400,49,17,1,7.5,0,0.6615
7,10,2,24135,7.2139,2119,51,8,1,7.5,0,0.7215
12,14,2,13440,4.9669,1880,35,12,0,7.5,1,0.7215
7,0,1,35400,14.476,1665,39,12,1,7.5,1,0.6215
7,3,1,15980,6.2972,1985,47,12,1,5,1,0.7215
7,7,2,25100,5.508,2100,51,10,0,5,0,0.6615
3,12,2,17200,5.6889,2360,44,16,1,7.5,0,0.7215
12,3,5,25320,13.126,1880,47,13,1,11,0,0.7515
17,12,2,14700,7.7994,2400,35,16,1,7.5,0,0.7215
7,7,2,28626,8.3208,1920,47,10,0,14,0,0.6915
16,12,3,63200,29.644,1848,34,17,1,9.5,0,0.4415
0,0,1,13400,4.287,2550,40,12,0,14,0,0.7515
7,7,0,24580,6,2006,51,8,1,9.5,1,0.6215
12,14,1,39500,14.114,2156,52,14,1,11,0,0.6215
7,7,0,32242,6.6618,3615,55,12,1,11,1,0.5815
3,14,3,26350,3.1836,5010,39,13,0,7.5,1,0.6615
7,7,0,17730,1.3013,3120,54,10,0,7.5,1,0.7215
7,10,2,24135,7.1222,2119,51,8,1,7.5,1,0.7215
7,7,3,13579,10.909,2256,51,12,0,7.5,1,0.7515
7,7,3,1500,0.4121,1668,54,12,1,7.5,0,0.9415
7,7,8,13126,4.8638,1040,38,7,1,11,0,0.9415
7,7,0,40900,11.538,2600,57,12,1,9.5,1,0.4915
12,12,0,24500,9.6354,1920,46,14,1,5,1,0.6615
3,7,2,12400,3.7875,2165,46,7,0,7.5,0,0.7715
7,12,1,18000,6.5844,2430,38,11,1,7.5,1,0.6915
14,12,2,6985,4.1458,2016,33,14,1,14,0,0.7515
0,7,4,18214,3.4415,3096,37,12,0,3,0,0.7215
7,7,1,22962,9.9741,1885,55,11,1,14,1,0.6915
7,7,4,15100,9.7959,2400,37,12,0,3,1,0.7515
7,7,0,9450,5.3846,1820,55,12,1,9.5,0,0.7215
16,16,1,7044,4.2098,880,39,12,1,9.5,1,0.7515
7,7,3,16500,5,2000,43,4,0,7.5,1,0.7515
7,7,4,15100,5,2400,41,4,0,3,1,0.7515
7,12,2,4000,3,3684,33,14,1,9.5,0,0.8015
0,0,2,6531,2.9287,2230,43,3,0,7.5,0,0.7815
12,12,3,32275,5.2632,2100,45,13,1,5,1,0.6215
0,7,8,7840,6.3521,1430,36,12,1,9.5,0,0.9415
10,7,0,68035,19,2500,47,17,1,7.5,1,0.4915
17,12,0,51000,10.5,3315,48,17,1,9.5,1,0.4615
7,7,0,26060,5.3864,2600,46,12,1,9.5,1,0.6215
7,17,0,30018,10.913,2178,56,16,1,14,1,0.6215
0,7,2,28316,8.8458,1984,43,14,0,11,1,0.6215
16,7,3,18180,6.0453,1530,34,17,1,14,0,0.6615
12,12,2,24701,6.7416,3315,46,17,1,9.5,1,0.6615
12,7,0,19900,6.3776,1960,43,14,1,7.5,1,0.7215
12,10,2,24000,6.5789,2223,37,15,1,14,1,0.6615
7,7,0,24000,9.5238,2500,50,15,1,11,0,0.6915
7,7,0,12090,5.9172,2028,54,8,0,14,0,0.7215
7,7,4,24760,11.364,2412,33,14,1,7.5,0,0.6615
7,7,0,18800,6,2500,53,12,1,7.5,1,0.7215
12,12,8,22000,6.2732,2370,40,10,0,5,1,0.7515
9,7,2,29400,8.2271,950,51,8,1,5,0,0.6915
3,10,4,43500,8.6359,2600,33,16,0,5,1,0.5815
7,17,2,21400,10.417,1626,38,14,1,9.5,1,0.6915
7,7,2,14025,4.8329,1944,41,11,1,7.5,1,0.7215
12,12,2,35200,11.29,2480,39,17,1,5,1,0.5515
7,7,2,62500,22.109,2250,48,15,1,9.5,0,0.4415
10,16,8,19180,6.9079,1694,40,12,1,7.5,1,0.7215
7,7,0,18150,9.5745,1880,50,12,0,11,0,0.6915
7,7,0,12160,7.9652,1150,42,17,0,11,1,0.7215
7,7,0,21620,9.2567,2139,56,12,1,14,0,0.6915
17,12,1,55600,12.245,2414,47,15,1,5,1,0.4415
7,7,2,23426,5.851,1920,44,16,1,5,1,0.7215
12,12,0,32950,14.114,1528,51,17,1,5,1,0.72
10,10,5,13000,4.2105,2375,38,14,0,3,0,0.7515
12,10,1,31875,8.2271,2467,53,17,1,9.5,1,0.64
7,10,0,15500,3,3478,54,12,0,11,1,0.7215
7,7,2,7720,2.4955,2805,31,10,0,7.5,0,0.7815
7,7,3,28200,3.463,2700,48,12,0,7.5,0,0.7215
7,12,2,7050,3.9629,2372,34,12,0,7.5,0,0.7515
12,12,3,62500,21.786,2185,37,16,1,11,0,0.4415
3,3,2,11920,4.4479,2080,43,9,1,7.5,1,0.7515
7,7,0,15389,4.3956,2272,52,10,1,5,1,0.7215
12,12,0,18000,6,1850,33,11,1,7.5,1,0.6915
12,10,3,14000,8.2117,2164,38,16,1,9.5,0,0.7215
14,7,0,57300,20.496,2295,55,17,1,14,0,0.4415
7,12,1,27200,9.1346,1800,48,16,1,5,1,0.6215
7,7,2,14025,6.6872,1944,41,17,1,9,1,0.7215
12,7,1,41800,12.794,2423,59,8,1,7.5,1,0.5815
10,3,3,40250,7.9709,3380,37,17,1,5,1,0.5215
10,7,0,36000,12.766,1880,56,12,1,11,1,0.5515
16,16,3,24000,7.093,2550,47,16,1,7.5,1,0.6615
7,10,1,21700,9.3333,2625,46,16,1,5,0,0.6615
7,7,0,22200,6.679,2695,53,12,1,7.5,1,0.6915
17,16,0,19855,10.193,2400,53,16,1,9.5,0,0.6915
12,12,1,35100,9.5545,1863,43,12,0,9.5,1,0.61
7,7,0,50300,22.109,2040,56,16,1,9.5,0,0.4415
3,3,1,26680,11.458,2185,57,7,1,7.5,1,0.6915
12,14,2,30600,11.404,2280,38,14,1,7.5,1,0.6615
12,12,0,21800,4.1319,2400,44,15,1,7.5,1,0.6915
12,12,2,24000,8.4,2500,35,12,1,9.5,1,0.6215
7,7,2,16000,7.7519,2064,52,12,1,11,0,0.7215
9,7,0,22650,5.7343,2054,56,12,1,7.5,1,0.6615
12,10,2,37300,9.8315,2250,45,15,1,7.5,1,0.6215
12,12,0,21384,8.2604,2390,42,10,1,5,0,0.6915
7,7,2,14750,5.3333,1920,41,8,1,14,0,0.7515
7,7,3,21972,6.7581,1968,43,12,1,5,1,0.6915
7,12,3,24656,7.5449,2227,33,14,1,5,1,0.6615
12,12,3,28900,4.4507,1960,39,13,1,14,1,0.6615
7,7,1,8311,10.487,288,51,11,1,11,1,0.7515
7,16,2,16500,6.5934,1936,45,12,1,5,1,0.7215
14,12,3,32275,5.2632,2850,48,9,1,5,1,0.6915
7,12,0,12405,6.6519,1804,42,12,1,7.5,0,0.7215
3,7,3,6800,2.0562,3307,36,4,0,7.5,0,0.7915
10,10,2,28200,11.945,2670,43,16,1,7.5,0,0.6215
7,12,1,29612,11.562,1990,39,12,0,11,1,0.5815
12,12,2,18600,9.8765,2450,33,17,0,7.5,0,0.6915
12,16,0,33000,9.375,2413,51,17,1,7.5,0,0.5515
7,3,3,7232,4.8077,1040,51,7,1,11,0,0.9415
7,3,7,4000,4.8077,1739,51,8,0,11,0,0.9415
7,7,0,16000,7.7519,2064,53,12,1,11,0,0.7215
12,7,4,36430,8.6248,2000,51,9,1,9.5,1,0.6615
10,12,1,50900,16.745,1528,44,17,1,5,1,0.4415
7,12,0,28900,9.2308,2375,44,14,0,5,1,0.6215
7,7,2,26000,8.5082,1763,54,17,1,5,1,0.6215
12,10,1,23591,13.57,2137,46,15,1,7.5,0,0.6915
12,16,1,37000,13.959,2526,52,17,1,5,1,0.52
12,10,0,33552,14.476,2112,53,12,1,7.5,1,0.5815
10,12,0,14090,4,2000,35,12,0,3,1,0.7215
12,12,1,26100,9.8039,2390,32,17,0,7.5,1,0.6215
10,10,0,31106,8.0092,2185,48,12,1,5,0,0.6915
7,12,1,27000,8.577,2544,39,12,0,3,0,0.6215
16,16,0,24984,8.9329,1800,54,16,1,7.5,1,0.6215
16,12,0,45500,9.058,2856,47,16,1,11,1,0.5215
12,12,0,24984,12.44,1705,55,8,0,14,0,0.6615
17,12,0,15700,6.6788,1936,51,16,1,7.5,1,0.7215
14,7,2,15825,3.463,3157,45,10,0,9.5,0,0.7215
7,7,0,3305,1.94,1100,55,8,0,3,1,0.7815
17,14,2,24400,8.6061,2071,44,13,1,9.5,1,0.6915
14,16,4,30800,8.0769,2600,37,14,1,11,0,0.5815
10,14,2,30800,11.404,2280,33,17,0,9.5,1,0.6215
7,12,0,15850,7.4879,2070,51,8,1,7.5,1,0.7215
7,7,1,13600,2.9762,2016,59,12,1,14,1,0.7515
7,7,5,5550,0.9615,3120,49,12,0,3,0,0.9415
3,7,3,7574,2.1354,1920,44,12,0,11,0,0.8015
7,16,3,57000,14.114,2940,47,17,1,9.5,1,0.5
7,7,2,19870,8.3877,2045,35,17,0,11,1,0.6915
12,12,0,22800,9.259,2880,55,17,1,7.5,0,0.6615
10,12,3,22610,4.9107,2000,35,12,0,3,1,0.7215
14,16,4,39500,8.0769,2600,43,14,0,3,1,0.5515
14,7,1,23100,7.569,2000,39,9,0,3,1,0.6615
7,3,2,13250,5.1894,1680,47,10,1,5,1,0.7515
7,3,0,12400,6,2000,54,7,0,11,0,0.7515
0,0,0,10040,4.4444,2250,52,11,1,3,0,0.7515
7,7,0,13400,4.7364,2760,60,12,0,3,0,0.6915
7,12,2,15150,4.4479,3260,31,12,1,7.5,0,0.7215
7,3,2,22422,9.2972,1995,57,12,1,11,0,0.6915
14,7,0,10876,3.1111,3185,56,11,1,14,0,0.7515
7,10,2,18100,6.0163,1927,48,12,1,7.5,1,0.7215
12,14,2,45205,6.54,4684,42,12,1,3,1,0.61
7,7,0,15389,6.162,2272,52,9,1,7.5,1,0.7215
12,12,1,31800,12.478,2059,47,16,1,11,0,0.52
7,7,2,21800,8.4416,2310,30,9,1,11,1,0.6615
10,10,4,30623,9.2715,3020,43,16,0,9.5,0,0.6215
7,7,2,9300,1.3653,2666,34,10,1,7.5,1,0.7515
7,10,3,18000,6.1818,2945,35,17,0,9.5,1,0.7215
7,12,1,21660,5.6025,1892,52,12,1,5,1,0.6615
3,3,2,18400,7.0833,2400,49,10,0,5,0,0.7215
17,12,2,12807,3.342,3684,39,17,1,11,0,0.7215
7,7,3,10455,3.5807,2007,38,12,0,14,1,0.7515
12,7,0,26000,8.5082,2040,53,17,1,5,0,0.6215
7,7,2,23882,6.1,1927,46,10,1,9.5,1,0.7215
10,12,2,30800,11.458,2190,33,16,0,7.5,1,0.5815
12,7,2,37100,4.5064,3120,39,13,1,5,1,0.5815
12,12,1,36525,13.298,2880,46,17,1,5,1,0.5515
12,12,2,13700,1.74,3020,38,13,0,7.5,1,0.7215
12,12,3,35200,11.29,3120,39,17,1,7.5,1,0.5215
7,12,0,15980,3.4077,3443,44,17,1,11,1,0.6915
10,12,3,30623,9.8765,3080,47,12,1,7.5,0,0.6215
9,9,1,9400,1.9835,2420,35,4,0,5,1,0.7515
